Comparison,Sector,rho_pre,rho_target,rho_adjusted,p,verdict
Crisis vs Pre-Crisis,Banks,0.665,0.617,0.387,0.0,decoupling
Crisis vs Pre-Crisis,Capital_Goods,0.812,0.798,0.588,0.0,decoupling
Crisis vs Pre-Crisis,Consumer_Durables_and_Apparel,0.707,0.723,0.487,0.0,decoupling
Crisis vs Pre-Crisis,Consumer_Services,0.556,0.622,0.397,0.0099,decoupling
Crisis vs Pre-Crisis,Diversified_Financials,0.552,0.859,0.69,0.005,contagion
Crisis vs Pre-Crisis,Energy,0.417,0.661,0.461,0.5012,no change
Crisis vs Pre-Crisis,"Food,_Beverage_and_Tobacco",0.711,0.857,0.684,0.5084,no change
Crisis vs Pre-Crisis,Healthcare_Equipment_and_Services,0.459,0.384,0.221,0.0008,decoupling
Crisis vs Pre-Crisis,Insurance,0.204,0.396,0.239,0.6446,no change
Crisis vs Pre-Crisis,Materials,0.727,0.856,0.673,0.192,no change
Crisis vs Pre-Crisis,Real_Estate_Management_and_Development,0.581,0.744,0.525,0.3175,no change
Crisis vs Pre-Crisis,Retailing,0.634,0.614,0.393,0.0,decoupling
Crisis vs Pre-Crisis,Telecommunication_Services,0.498,0.442,0.259,0.0005,decoupling
Recovery vs Pre-Crisis,Banks,0.665,0.633,0.765,0.0001,contagion
Recovery vs Pre-Crisis,Capital_Goods,0.812,0.62,0.732,0.0002,decoupling
Recovery vs Pre-Crisis,Consumer_Durables_and_Apparel,0.707,0.491,0.605,0.0009,decoupling
Recovery vs Pre-Crisis,Consumer_Services,0.556,0.535,0.659,0.0026,contagion
Recovery vs Pre-Crisis,Diversified_Financials,0.552,0.688,0.797,0.0,contagion
Recovery vs Pre-Crisis,Energy,0.417,0.351,0.458,0.3509,no change
Recovery vs Pre-Crisis,"Food,_Beverage_and_Tobacco",0.711,0.69,0.803,0.0001,contagion
Recovery vs Pre-Crisis,Healthcare_Equipment_and_Services,0.459,0.309,0.408,0.2443,no change
Recovery vs Pre-Crisis,Insurance,0.204,0.24,0.335,0.0094,contagion
Recovery vs Pre-Crisis,Materials,0.727,0.726,0.82,0.0,contagion
Recovery vs Pre-Crisis,Real_Estate_Management_and_Development,0.581,0.338,0.46,0.0022,decoupling
Recovery vs Pre-Crisis,Retailing,0.634,0.534,0.66,0.4067,no change
Recovery vs Pre-Crisis,Telecommunication_Services,0.498,0.363,0.479,0.6505,no change
