Comparison,Sector,rho_pre,rho_target,rho_adjusted,p,verdict
Crisis vs Pre-Crisis,Banks,0.644,0.587,0.436,0.0001,decoupling
Crisis vs Pre-Crisis,Capital_Goods,0.82,0.775,0.638,0.0,decoupling
Crisis vs Pre-Crisis,Consumer_Durables_and_Apparel,0.711,0.682,0.522,0.0,decoupling
Crisis vs Pre-Crisis,Consumer_Services,0.573,0.583,0.433,0.0128,decoupling
Crisis vs Pre-Crisis,Diversified_Financials,0.589,0.846,0.741,0.0002,contagion
Crisis vs Pre-Crisis,Energy,0.458,0.627,0.504,0.4329,no change
Crisis vs Pre-Crisis,"Food,_Beverage_and_Tobacco",0.733,0.846,0.739,0.8778,no change
Crisis vs Pre-Crisis,Healthcare_Equipment_and_Services,0.489,0.318,0.216,0.0,decoupling
Crisis vs Pre-Crisis,Insurance,0.249,0.358,0.257,0.9109,no change
Crisis vs Pre-Crisis,Materials,0.734,0.85,0.74,0.8711,no change
Crisis vs Pre-Crisis,Real_Estate_Management_and_Development,0.613,0.705,0.558,0.2637,no change
Crisis vs Pre-Crisis,Retailing,0.647,0.577,0.426,0.0,decoupling
Crisis vs Pre-Crisis,Telecommunication_Services,0.519,0.381,0.265,0.0001,decoupling
Recovery vs Pre-Crisis,Banks,0.644,0.632,0.786,0.0,contagion
Recovery vs Pre-Crisis,Capital_Goods,0.82,0.624,0.759,0.0035,decoupling
Recovery vs Pre-Crisis,Consumer_Durables_and_Apparel,0.711,0.494,0.635,0.0117,decoupling
Recovery vs Pre-Crisis,Consumer_Services,0.573,0.538,0.689,0.0005,contagion
Recovery vs Pre-Crisis,Diversified_Financials,0.589,0.69,0.816,0.0,contagion
Recovery vs Pre-Crisis,Energy,0.458,0.355,0.483,0.5659,no change
Recovery vs Pre-Crisis,"Food,_Beverage_and_Tobacco",0.733,0.69,0.82,0.0001,contagion
Recovery vs Pre-Crisis,Healthcare_Equipment_and_Services,0.489,0.311,0.431,0.1837,no change
Recovery vs Pre-Crisis,Insurance,0.249,0.243,0.356,0.0337,contagion
Recovery vs Pre-Crisis,Materials,0.734,0.725,0.838,0.0,contagion
Recovery vs Pre-Crisis,Real_Estate_Management_and_Development,0.613,0.334,0.48,0.0005,decoupling
Recovery vs Pre-Crisis,Retailing,0.647,0.555,0.703,0.061,no change
Recovery vs Pre-Crisis,Telecommunication_Services,0.519,0.37,0.512,0.8552,no change
