Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Pre-COVID,ASPI,265,-0.07886493578211055,0.06623234914141625,0.1548147803068245,0.11197710035629188,0.9178986284859076,0.045742813178598074,0.028287909698156293,0.03812832340489468,0.45813987570001535,3.5388095140685993,0.9575579494671299,-183.94160417053484,379.8832083410697,0.9788155449549808,No,True,True
COVID,ASPI,438,0.0544580869971702,0.036081788569291846,0.47625240126668617,0.07492914752552224,0.9364771862189932,0.024225207118614506,0.00613260385366426,0.044354753715289144,0.8900328774124457,4.453403266965163,0.9549777824031415,-669.0490748624302,1350.0981497248604,0.3718460772393725,No,True,True
Crisis,ASPI,200,0.4678101461200275,0.17132642307064033,0.4814813669668378,0.15295981801070932,0.6467992387812578,0.1203881994132362,-0.22147794160779455,0.0783953697198978,0.004725987363509028,9.931307035193825,6.796906682013237,-413.60637104567274,839.2127420913455,0.8580126852023591,Yes,True,True
Recovery,ASPI,655,-0.038031580759403584,0.031803925974159236,0.4028613464395828,0.10805541647880505,0.8480567236449212,0.07193935176112089,-0.07847009328701705,0.04316876380465224,0.06910209370031654,7.874340897705872,2.4535365193140013,-810.4509704248808,1632.9019408497616,0.833291849200684,No,True,True
Pre-COVID,Banks,265,-0.005103181827119238,0.0804540325794621,0.4822814290276667,0.14805902437163376,0.8162712311006054,0.10069602840143974,0.11656220066667745,0.0711221130790426,0.10123359119606934,3.679190097337593,0.8395622131391471,-308.36492055631527,628.7298411126305,0.8930875982772177,No,True,True
COVID,Banks,438,0.1612227903097827,0.14298163697242167,0.41567577747118717,0.2290076495965858,0.9427000778231258,0.06120819776394872,-0.024334985387599418,0.05276453590602904,0.6446553742015864,2.566337802814489,0.39801598433506974,-694.467151344965,1400.93430268993,0.9448109737381678,No,True,True
Crisis,Banks,200,0.2455045255598247,0.12895762948635797,0.5461905945175672,0.176209414060264,0.7968060939255812,0.10545617321904845,-0.15005194518145104,0.11144632921739765,0.17817179386227133,4.182991080726754,1.1174251073315415,-359.9727957327335,731.945591465467,0.8796917780704285,No,True,True
Recovery,Banks,655,0.08264425899258855,0.049641845679618275,0.296343267300542,0.11819571690155595,0.9477992483694768,0.034676796512727266,-0.022417423756372633,0.03751235260096063,0.5501061197942891,3.6528581390174435,0.5983807384522817,-1149.2862651560085,2310.572530312017,0.6010226072712058,No,True,True
Pre-COVID,Capital_Goods,265,-0.01099447239023711,0.03981854635214129,0.126095805484138,0.13701895903065373,0.8873128744088444,0.09525692478434285,0.07539967204609643,0.07087340169683841,0.2873902404413241,3.6279355085449683,0.8598428408624358,-316.52876901313334,645.0575380262667,0.9944466955683456,No,True,True
COVID,Capital_Goods,438,0.07481471368764694,0.0338018828750448,0.349590702193453,0.06205604116817134,0.9418978566754808,0.02317199101288789,-0.019237771098784953,0.04174274435322208,0.6448954428704943,4.883433869786003,1.1597042464057914,-808.9334887411637,1629.8669774823275,0.7694359738369076,No,True,True
Crisis,Capital_Goods,200,0.5881092601860113,0.38505482745950526,0.5902805853343271,0.3251200680915373,0.6847503251535287,0.23463899749846268,-0.26031268147490383,0.11207578591565913,0.020198030795062074,3.90883420559049,1.3354309009501864,-434.3013366652833,880.6026733305666,0.978499896235213,Yes,True,True
Recovery,Capital_Goods,655,0.02176685482124724,0.043050811792586165,0.32964796596685403,0.08141920341245248,0.7096602915849349,0.0715136552379657,-0.04357439402266203,0.05119530851797885,0.39469138026833883,4.713774210516752,0.8564225117075408,-893.7389008343009,1799.4778016686018,0.8702605131740254,No,True,True
Pre-COVID,Consumer_Durables_and_Apparel,265,-0.007387776398996238,1.6971151199228878e-07,-0.14383157278345948,0.0002364178978912097,0.983151891373536,8.119398290398081e-07,-0.04119206682777906,0.0005813868083216064,0.0,4.547746909621637,1.0099007643089588,-399.41886630605546,810.8377326121109,0.5202551174264393,Yes,True,True
COVID,Consumer_Durables_and_Apparel,438,0.12217750303894276,0.05285679723083746,0.4437707816624995,0.08893772355588887,0.9497207622841435,0.022942121032973405,0.05857195833175407,0.046868750115147316,0.21140852333908056,3.69106165224612,0.6863406446150088,-904.7828246528613,1821.5656493057227,0.8368630364262377,No,True,True
Crisis,Consumer_Durables_and_Apparel,200,0.4587905269477284,0.26462323172393276,0.39076674878887235,0.1353948518218042,0.7345611747587193,0.15382000251392225,-0.2726290750399622,0.09654429697404415,0.004744681109950638,4.37377938177626,1.220393266882366,-431.3600798433444,874.7201596866888,0.9701872491792827,Yes,True,True
Recovery,Consumer_Durables_and_Apparel,655,0.06045220085369033,0.032337671270801366,0.19245168025243353,0.06740008027665591,0.9246977060914707,0.0447683965992371,-0.021498586972125106,0.03625753236532533,0.5532204631008424,4.296683533141328,0.7809985965791327,-1071.3249824700026,2154.6499649400052,0.162820621056235,No,True,True
Pre-COVID,Consumer_Services,265,-0.010392283999748312,8.337944023392819e-08,-0.15548979648947692,2.6585888890847356e-05,0.9800522397097295,1.1633989353881738e-06,0.019666182099933188,0.00017063585213771432,0.0,3.621973304819424,0.4719153453093293,-393.58560037627797,799.1712007525559,0.612366653255072,No,True,True
COVID,Consumer_Services,438,0.23156430987942042,0.12858007626768683,0.4881158243436142,0.14950115170788125,0.8519507641685891,0.08796218495578641,-0.04009489208744973,0.0560327608007403,0.4742620904330056,3.7544234369453857,0.5999349233840616,-848.9218625898111,1709.8437251796222,0.6402494797594027,No,True,True
Crisis,Consumer_Services,200,0.3334832733275295,0.28843565921252806,0.3393171471618611,0.18948435497292523,0.798266679482439,0.18287043249941326,-0.03222300008194205,0.06416370302661296,0.6155269698654621,8.69852042511911,4.2852848168387645,-440.74045696410076,893.4809139282015,0.9232593329683007,No,True,True
Recovery,Consumer_Services,655,0.16393003320817082,0.08116408466723503,0.38167680110060764,0.10440000430743299,0.5178730739497821,0.1896494787250276,0.050234629147586175,0.06436729361975513,0.4351335902222755,4.750700332704667,0.8645175344970026,-988.4738696794703,1988.9477393589407,0.8496223069559043,No,True,True
Pre-COVID,Diversified_Financials,265,-0.16943806066218817,0.156538310081404,0.6141989261100637,0.21636929114388814,0.224847260314082,0.17996160284873353,-0.052332804094371604,0.14691696749860286,0.7216857954801237,4.748193782240333,1.2546704672221562,-325.4671785724235,662.934357144847,0.8733237355329522,No,True,True
COVID,Diversified_Financials,438,0.2870746247601858,0.1554251653981487,0.6998105012686435,0.2168727683549142,0.8954537337922387,0.06020795865257268,0.017181394892760646,0.06012989571368364,0.7750788136489567,3.4321659422466357,0.6619054247721431,-976.3208816594117,1964.6417633188235,0.833701629590968,No,True,True
Crisis,Diversified_Financials,200,0.14557487897588078,0.1904269465400944,0.2821742977410778,0.27835078532413426,0.9440796046338586,0.0736661251368587,-0.13681294817059836,0.0471357369063163,0.003701602569808721,5.533595388597877,1.9440989763684966,-511.2051228244171,1034.4102456488342,0.027206938539796936,Yes,True,True
Recovery,Diversified_Financials,655,0.11205478489347104,0.05973791278604438,0.2765572006455759,0.07459519593916777,0.845485816715492,0.08043137992439732,-0.048878490872837285,0.04120399072247759,0.23552112459607366,5.271135966197111,1.1339556121372352,-1105.5486327693266,2223.097265538653,0.9768369150443686,No,True,True
Pre-COVID,Energy,265,0.6093876580788145,0.36800743734083113,0.3831083074791631,0.148573978502108,0.2292022500676202,0.4072132771940179,0.04264998484120947,0.10229334759539563,0.6767237500396218,3.37762499552936,0.8323746184399424,-437.4515157028363,886.9030314056726,0.9987409263966499,No,True,True
COVID,Energy,438,0.49328052795659383,0.22598491643164098,0.5062201101724859,0.13768391181377962,0.8425978953519889,0.07995651240858079,0.037226631988527124,0.06988366850808699,0.594245211398863,2.603860275151746,0.3233391835441506,-1009.0273733539261,2030.0547467078522,0.8110697454929776,No,True,True
Crisis,Energy,200,0.6903665733865961,0.28049539361935655,0.43066480562517845,0.16219143786788637,0.7953891471069805,0.08267425701916975,-0.13687676386416578,0.0841094901230614,0.10365979350769379,10.928893319567592,8.305605847492785,-612.4943224430544,1236.988644886109,0.09572244740686274,No,True,True
Recovery,Energy,655,-0.00394996723388279,1.2479841925314711e-07,-0.04049722201860872,0.002946603473844585,0.9979596757718125,2.699166496634518e-06,0.00018654338571196804,0.004581151217158318,0.9675193071302319,3.9661706964624326,1.195764458734425,-1176.0014630323108,2364.0029260646215,0.8180796095679695,No,True,True
Pre-COVID,"Food,_Beverage_and_Tobacco",265,-0.019181096271867613,0.1081538420864838,0.09058248775649305,0.28162474479472765,0.9538046096431197,0.17784969081932542,0.0662875800497646,0.18094856599642656,0.7141159935766741,3.4688753327800317,0.69111998124465,-246.13281301328269,504.26562602656537,0.9904339314736748,No,True,True
COVID,"Food,_Beverage_and_Tobacco",438,0.05959045181115388,0.03854286460306487,0.4303243071491488,0.08031725496848029,0.906980813465587,0.03475106672146909,-0.0017667672815660448,0.04503632780551939,0.9687071546122284,4.175562141688556,0.7981240692228722,-650.5958808116584,1313.1917616233168,0.050822987636056215,No,True,True
Crisis,"Food,_Beverage_and_Tobacco",200,0.018963022821278284,0.00010026169272304576,-0.1617828176247216,0.00659594025642811,0.975421485572833,5.056169452862243e-08,-0.11924669729311853,0.004505123831457888,2.1980161452426547e-154,19.709464903816592,4.6263673733830455,-415.42248768847634,842.8449753769527,0.6152837100587917,Yes,True,True
Recovery,"Food,_Beverage_and_Tobacco",655,-0.0010851196411871106,0.022794133525832663,0.13051526975474734,0.4785020031879008,0.9457119818842298,0.48833692233959114,-0.0325783657772929,0.22862837293966548,0.8866891467286463,7.783912662493031,2.8654033006873902,-891.7763125021904,1795.5526250043808,0.8043613199273665,No,True,True
Pre-COVID,Healthcare_Equipment_and_Services,265,0.25925015945092617,0.14295031348609696,0.6212734488508871,0.23287070045966327,0.5980273528177802,0.18871041062455352,0.27431722404050374,0.11643001522485903,0.01846945483331056,3.71256715414582,0.9528828692780359,-407.1282869461122,826.2565738922244,0.5433618206339197,No,True,True
COVID,Healthcare_Equipment_and_Services,438,0.423891802625712,0.14299306161372183,0.6554699769789885,0.1351742928898411,0.7959692302480806,0.07204723743254135,-0.09808466061526228,0.09578328422249804,0.30582256449487377,3.057375486409106,0.5466869068423423,-873.2882757164388,1758.5765514328775,0.9689213354623566,No,True,True
Crisis,Healthcare_Equipment_and_Services,200,0.08404443460930473,2.6768370134836734e-06,-0.21131314129398698,0.0016271606445194971,0.9600294775302404,3.594646509866468e-08,-0.24985306285001643,0.0028079573172151416,0.0,7.083680673574267,1.9811898231554215,-490.4302949622419,992.8605899244837,0.6201220043258305,Yes,True,True
Recovery,Healthcare_Equipment_and_Services,655,0.00029301040440197736,5.890261624497937e-09,-0.03067728426102775,0.0005796614968005766,0.999551028307975,1.1122545282657147e-07,0.01930515428111202,0.00015892794375282722,0.0,9.551466235890432,0.6156648875629244,-1125.3862049814427,2262.7724099628854,0.8202494263290188,No,True,True
Pre-COVID,Insurance,265,0.8412261846913797,1.2089360240989198,0.02915300373961954,0.6197648709641776,0.41920886363346427,0.49151306626125313,-0.10937286637954065,0.6373563731929794,0.8637489078163098,2.070257176798673,0.11176464706815617,-268.06395801335583,548.1279160267117,0.9999941277162472,No,True,True
COVID,Insurance,438,0.19370836344416537,0.14960013812433443,0.47573526370285774,0.19174437164493663,0.9851833959378645,0.015734625793237544,-0.1422944595182064,0.09156154618491803,0.1201640540941229,2.313478272226764,0.2715587271205799,-713.748829114017,1439.497658228034,0.6008094582025318,No,True,True
Crisis,Insurance,200,0.12845792148151303,0.08747935461741263,-0.07907141853841188,0.07195253093565082,0.9499491059177229,0.024441970438530254,-0.42002339009004896,0.0801910945208036,1.6251875769968992e-07,17.040963832176885,12.854066079218416,-528.8968557573846,1069.7937115147693,0.7396881208534317,Yes,True,True
Recovery,Insurance,655,0.9010087177624969,0.25581072180946,1.074376471016622,0.17121636937512485,0.5688544939962844,0.101565800714729,0.06428233482285228,0.07866173807112342,0.41381441513601835,2.8169568649728123,0.3411401323215677,-1290.0288961716383,2592.0577923432766,0.26786441889415796,No,True,True
Pre-COVID,Materials,265,0.18940844018017697,0.13947929190270797,0.471202768316407,0.13723559935069493,0.5877312597014722,0.21152357277846048,-0.05300469047967009,0.09860016310130229,0.5908725399537142,3.630499476993542,0.8431234601606533,-388.14713086863526,788.2942617372705,0.8621945502641675,No,True,True
COVID,Materials,438,0.10722766881092739,0.053819734456117076,0.4480881029340731,0.08999617744208466,0.9448163270288767,0.022680984058806846,-0.008958717993381852,0.047068650568550516,0.8490481872780785,3.912671503466203,0.8097852234205382,-865.5005443015057,1743.0010886030113,0.9624131885445245,No,True,True
Crisis,Materials,200,0.7885622552177494,0.23920040780009905,0.6529964298356471,0.21540728408445498,0.6010531857078208,0.1239840977139321,-0.09588744702118604,0.09038799348146366,0.28876137327435514,11.790257180844746,8.631549312971636,-476.2828308966755,964.565661793351,0.4678220698251824,No,True,True
Recovery,Materials,655,0.0040886960992046134,0.016271834514470312,0.33521915396188745,0.0816437353509368,0.8838005454793378,0.055559322482273674,-0.07064214119211237,0.03532833498389697,0.04554468972631961,12.284040999295673,4.756507823789482,-917.4504779137174,1846.9009558274347,0.9799513694943209,Yes,True,True
