Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Pre-Crisis,ASPI,703,0.0246568594004335,0.021667618801017367,0.3618728091672111,0.04867592792706107,0.9598864486021502,0.012950984378431214,0.02043269989541073,0.024326487984223582,0.4009441128217087,4.232044684399747,0.7688787126612501,-883.3312295708986,1778.6624591417972,0.9701371032348117,No,True,True
Crisis,ASPI,200,0.46779236196079615,0.17131958340301834,0.48147968645796,0.15296091407376589,0.6467986448366442,0.12039179833804987,-0.22146728951654873,0.07839289521168968,0.0047266762998611715,9.932888964849019,6.800235339444421,-413.60637106520403,839.2127421304081,0.8580173152220651,Yes,True,True
Recovery,ASPI,655,-0.03802505068533029,0.03180064835511081,0.4028633534444297,0.10806112259423822,0.8480686344575634,0.07193194834797999,-0.07847133937284038,0.043169533972793404,0.06910263879015201,7.874042236195226,2.4532201573418635,-810.4509703200367,1632.9019406400735,0.8332860199779913,No,True,True
Pre-Crisis,Banks,703,0.09779096862640332,0.058883090073190786,0.4244588207234333,0.13050059814598233,0.9120277333076998,0.049782159166610655,0.028475371764911793,0.04243561941668507,0.5022044496761411,3.0918978541329745,0.3569084615710453,-1007.8672879685021,2027.7345759370041,0.9901584630423976,No,True,True
Crisis,Banks,200,0.24551214193909263,0.12896960159065773,0.546215629780389,0.17622380569567442,0.7968101255007712,0.10545016044484325,-0.15006579557646688,0.11145342701786101,0.1781593762277891,4.1829654909182,1.1176080370701802,-359.97279574191737,731.9455914838347,0.8796936673690708,No,True,True
Recovery,Banks,655,0.08264298773500854,0.0496411310117012,0.2963497902028012,0.11819786117095141,0.947802180774058,0.03467299267672521,-0.022423869196882416,0.03751444645708074,0.5500137162021763,3.652870314128053,0.5984238985680097,-1149.2862651560004,2310.5725303120007,0.6010040415250435,No,True,True
Pre-Crisis,Capital_Goods,703,0.05143743107017339,0.020378577343308748,0.3000106965172845,0.05074193027193206,0.9612940976346998,0.013255179863044054,0.008935194260914664,0.02790929796182106,0.7488537409148479,4.03500588141641,0.65000311938414,-1141.7238183218983,2295.4476366437966,0.9816391369879651,No,True,True
Crisis,Capital_Goods,200,0.5881086784974258,0.38538164565028094,0.5902796689279175,0.3252297528323805,0.6847769347740766,0.23478956306844323,-0.2603173353104409,0.11207580632908047,0.020195821124042633,3.908134933245227,1.3343157098512153,-434.30133709494544,880.6026741898909,0.9784939302441353,Yes,True,True
Recovery,Capital_Goods,655,0.021770300200167826,0.043051133954608044,0.329641569222864,0.08141829631631858,0.7096602713753928,0.07151470456789645,-0.04357446286842376,0.05119539577340749,0.394691439080474,4.713681346934999,0.8563766326058561,-893.7389008331162,1799.4778016662324,0.8702553040485446,No,True,True
Pre-Crisis,Consumer_Durables_and_Apparel,703,0.09717724150458543,0.030027126940629843,0.3687970092141488,0.06298081267013939,0.9468567711868737,0.01652064400129141,0.0338816948642987,0.032585557550320034,0.2984437796661802,3.867754333022583,0.5808633401453205,-1319.0122330499466,2650.0244660998933,0.943860312491877,No,True,True
Crisis,Consumer_Durables_and_Apparel,200,0.45875475646670927,0.264649598895864,0.3907560116645709,0.13539712706115087,0.7345856098393774,0.1538357637699939,-0.27261432610158215,0.09655009392058246,0.0047494543844679524,4.373708288350738,1.2203775821803655,-431.36007987004956,874.7201597400991,0.9701871475337598,Yes,True,True
Recovery,Consumer_Durables_and_Apparel,655,0.0604597348002172,0.03234593812299399,0.19246022859614373,0.06740286680526596,0.9246859253793944,0.044781063535897045,-0.021498726219579982,0.03625905990182692,0.5532346109156557,4.2966986040320565,0.7810461147013956,-1071.3249824818108,2154.6499649636216,0.16282008459418199,No,True,True
Pre-Crisis,Consumer_Services,703,0.17669909621196192,0.18250152193737992,0.3853031736927269,0.23078001056185343,0.8634314867404983,0.16926451683253474,-0.00032986227139832834,0.06693015272081565,0.9960676774612007,3.5928421366771848,0.5218567537072832,-1258.9583126366545,2529.916625273309,0.779034175401762,No,True,True
Crisis,Consumer_Services,200,0.33344317353807745,0.2884191738015768,0.33933586088762124,0.18951738775839716,0.7982911702747514,0.18286226465228014,-0.032235254410685116,0.0641658993518427,0.6154047397777249,8.69901650195478,4.2861077864722255,-440.7404568931114,893.4809137862228,0.9232439985034064,No,True,True
Recovery,Consumer_Services,655,0.16393003320817082,0.08116408466723503,0.38167680110060764,0.10440000430743299,0.5178730739497821,0.1896494787250276,0.050234629147586175,0.06436729361975513,0.4351335902222755,4.750700332704667,0.8645175344970026,-988.4738696794703,1988.9477393589407,0.8496223069559043,No,True,True
Pre-Crisis,Diversified_Financials,703,0.10206461995783586,0.044900932994402135,0.46723291811356354,0.11122650769234252,0.9594092706658127,0.01967756988854391,0.011237082678886455,0.037894979127296044,0.7668236568978115,3.532384853859939,0.47410156681230076,-1312.4962689647155,2636.992537929431,0.5274860299088294,No,True,True
Crisis,Diversified_Financials,200,0.1455744825748772,0.1904191006379043,0.2821594712693564,0.2783214099523169,0.9440777498598998,0.07366760245921221,-0.1368228383868904,0.0471350673859167,0.0036986366868688066,5.533638053853577,1.9439005109863294,-511.20512287019756,1034.410245740395,0.027186520501191552,Yes,True,True
Recovery,Diversified_Financials,655,0.11205587626961681,0.059739665625440454,0.27655142388514403,0.07459418499262198,0.8454897288513129,0.08043115047208607,-0.04887690099808949,0.04120369134155543,0.23553295539347296,5.270903978050025,1.133783559421227,-1105.5486327706794,2223.097265541359,0.9768363766694302,No,True,True
Pre-Crisis,Energy,703,0.25652597734624777,0.15081533747316278,0.4166399916631011,0.13699655206193478,0.9129540488015385,0.05948472702251403,0.025000686470042388,0.046386296084154406,0.5899095710512265,2.654800359792394,0.26829326987780744,-1456.2307168626087,2924.4614337252174,0.8225087375788629,No,True,True
Crisis,Energy,200,0.6904097478324467,0.2805140896023474,0.43069063115406003,0.16219026357605834,0.795377381662396,0.08267921780250435,-0.13688532912866644,0.0841161528139418,0.1036655403296892,10.93037844654626,8.311140370151628,-612.494322421258,1236.988644842516,0.09572018544069126,No,True,True
Recovery,Energy,655,-0.0057912021199092506,1.8367366068424898e-07,-0.042445238938383284,0.00034062130065468354,0.998891829989149,5.274121157224926e-07,-0.006216542517876074,0.00011625361216368759,0.0,3.9756051483149464,0.587215999851206,-1176.026068158339,2364.052136316678,0.7797898435341356,Yes,True,True
Pre-Crisis,"Food,_Beverage_and_Tobacco",703,0.03210479773674916,0.02386056146320745,0.3486303208837986,0.07144132484972959,0.9424064972836023,0.02266529640189376,0.02271069164421614,0.03320980902217601,0.4940667759830397,3.883546088711913,0.5676362087914033,-910.9578535068757,1833.9157070137514,0.14373992499900096,No,True,True
Crisis,"Food,_Beverage_and_Tobacco",200,0.018963022821278284,0.00010026169272304576,-0.1617828176247216,0.00659594025642811,0.975421485572833,5.056169452862243e-08,-0.11924669729311853,0.004505123831457888,2.1980161452426547e-154,19.709464903816592,4.6263673733830455,-415.42248768847634,842.8449753769527,0.6152837100587917,Yes,True,True
Recovery,"Food,_Beverage_and_Tobacco",655,-0.0010812323943911839,0.022745440989453164,0.13049994080804767,0.478359996171296,0.9457274358050849,0.48810478628908305,-0.03257371615928417,0.22857022668318552,0.8866765827962174,7.783376485195521,2.8664242504267845,-891.7763125794149,1795.5526251588299,0.8043362791870224,No,True,True
Pre-Crisis,Healthcare_Equipment_and_Services,703,0.3184801396998629,0.10129449348323459,0.6217152567307909,0.11063081482204669,0.8073087184444859,0.06375963005689764,0.012187801487479055,0.07565648182199493,0.8720194053411046,3.1834813607364456,0.4677154326938843,-1287.3586256124736,2586.717251224947,0.9716401229293975,No,True,True
Crisis,Healthcare_Equipment_and_Services,200,0.11983643560864751,2.403172102893008e-07,-0.23208082389478707,0.0015869892593466004,0.9478279268199422,1.5393817746222996e-06,-0.24975750882233871,0.0004615744269955538,0.0,8.06456256307879,2.4845253075124543,-490.40798172970375,992.8159634594075,0.578187237764383,Yes,True,True
Recovery,Healthcare_Equipment_and_Services,655,-0.00030664790950631906,3.850379739133083e-09,-0.03027102714004137,0.0006139310732671152,0.9999999999999848,1.2373834673386466e-07,0.014856305834543308,0.00011754023621108796,0.0,9.286193805048866,0.42268439146780123,-1125.2594491137645,2262.518898227529,0.8365598689070566,No,True,True
Pre-Crisis,Insurance,703,0.08147595140769949,0.03479696854205159,0.1936956436947434,0.043890577015006135,0.9892326031360023,0.0045497419429776104,0.16408644281675436,0.038286735878120974,1.8214372756723107e-05,2.3009166692942866,0.13834389267260566,-998.3323413983633,2008.6646827967265,0.9999994318395125,No,True,True
Crisis,Insurance,200,0.1284600697948886,0.08749378221737314,-0.07907046507932039,0.07195163073868263,0.9499479944320356,0.0244459918277533,-0.4200331374780566,0.08019756027262469,1.627837196008692e-07,17.039610338472166,12.85114616851838,-528.8968557876767,1069.7937115753534,0.7397017811186892,Yes,True,True
Recovery,Insurance,655,0.900949232941782,0.2558692134332557,1.0743371633763226,0.17125438959296424,0.5688579908685935,0.10156351913016509,0.06431891236131253,0.0786646275946677,0.4135659295390104,2.8170621806441365,0.34133418337753807,-1290.02889631196,2592.05779262392,0.26788366722032453,No,True,True
Pre-Crisis,Materials,703,0.08621039256013949,0.03384672210133421,0.4006041586476746,0.061998676483044496,0.944866011288894,0.018599183762454202,-0.004420854662514426,0.03264949671972312,0.8922928925318818,4.086157692673268,0.6826240935222322,-1264.6229781044617,2541.2459562089234,0.8937078676482691,No,True,True
Crisis,Materials,200,0.7885187191640475,0.23918207321695703,0.6529967546082671,0.21542023093253598,0.6010725698364989,0.12397597928914757,-0.09590797954006387,0.09038304038759473,0.28863171119178455,11.79264792653979,8.637595667725735,-476.28283094331573,964.5656618866315,0.4678949278635345,No,True,True
Recovery,Materials,655,0.00408498633661277,0.016272161538835678,0.3351997119604878,0.08163890497041919,0.8838130182934425,0.05555136033360618,-0.07064560480182022,0.035327329559884914,0.04552794652569454,12.281903856212848,4.752445338289505,-917.4504780467548,1846.9009560935096,0.979943934843518,Yes,True,True
Pre-Crisis,Real_Estate_Management_and_Development,703,0.08213122433770598,0.037608197289669514,0.3070693985559646,0.08781980442080183,0.9318046428945298,0.033360439618479426,-0.029143074034070116,0.039987904679426325,0.4661257082251512,3.674177385389991,0.507422784905564,-1152.4485367591524,2316.8970735183048,0.5274405032825029,No,True,True
Crisis,Real_Estate_Management_and_Development,200,0.28553191654268684,0.1609874404281592,0.2894417056769892,0.11999584986160217,0.8176040880378267,0.09826145537687431,-0.17966380990768266,0.07439676447062646,0.01573775107909762,7.7628143896731565,3.013983678739899,-436.7043569037038,885.4087138074076,0.8927711826973269,Yes,True,True
Recovery,Real_Estate_Management_and_Development,655,0.24116489484140888,0.17529607796949487,0.19936430770868985,0.17948112673342562,0.6976580247485885,0.21210354189204148,0.018254271541521642,0.07990065827371455,0.8192870230621108,4.054891357911994,0.9912970250415502,-1124.7072209125604,2261.414441825121,0.9999976481462199,No,True,True
Pre-Crisis,Retailing,703,0.09661402276124485,0.03725896927676219,0.34701040844854536,0.07672553332484623,0.9367765917573847,0.025502854523107188,0.02708925929340736,0.039868299539616486,0.49684097088245205,4.086431781770509,0.6102734650963894,-1291.3903577811511,2594.7807155623022,0.6491795904350278,No,True,True
Crisis,Retailing,200,0.26507245238524174,0.1173354808483376,0.21552987319218628,0.09826237674612667,0.8797913434779705,0.054347042742862235,-0.20210279291170827,0.06850329027461444,0.003175024777433357,3.7822105752844295,1.0023870069422542,-474.72120931102745,961.4424186220549,0.8839257899396225,Yes,True,True
Recovery,Retailing,655,0.19774542314255794,0.13720173724172877,0.327761129063737,0.11232250911892433,0.7356032974975293,0.19344798615805264,-0.03768408974167736,0.050683480085114516,0.45716800854217743,5.372450957415992,1.1465756961914573,-1121.2139111753172,2254.4278223506344,0.36779642504432514,No,True,True
Pre-Crisis,Telecommunication_Services,703,0.07558504731558585,0.04151282436170761,0.2846047991895962,0.088100900369656,0.9167248818971545,0.04831574815811484,-0.02605084293641487,0.038138234471231484,0.4945666020108388,4.258971367340171,0.6838911543652114,-1157.5420983668155,2327.084196733631,0.8179748251443482,No,True,True
