Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Pre-Crisis,ASPI,726,0.031538632412284884,0.020652111772579383,0.3726087313136486,0.04716541579467572,0.9644862655292211,0.012228948576900597,0.005917532476264267,0.024018119008677077,0.8053897524817842,4.357219898505261,0.8089638789890399,-939.0426775363383,1890.0853550726765,0.9685108449052812,No,True,True
Crisis,ASPI,234,0.23294882257052452,0.1622165343672911,0.5601961180420975,0.2356339706558325,0.7970425043917195,0.13772700843090294,-0.15026628074681117,0.06973446238076116,0.031174725299028677,5.701167174747168,2.0905270020686006,-447.1583060061047,906.3166120122094,0.8689266579538729,Yes,True,True
Recovery,ASPI,598,-0.04743590226417986,0.0371759601386678,0.3814484783188887,0.1147157806419232,0.8468282141866887,0.0830000876586263,-0.08380959981807608,0.05232145181451931,0.10919519977752734,7.6432166043095835,2.363508615031455,-728.9049068050937,1469.8098136101873,0.8340251325031629,No,True,True
Pre-Crisis,Banks,726,0.09513823831122756,0.054594447686943444,0.41949220417325894,0.11910257202070891,0.9135400251442296,0.04553477522147504,0.029304533089069256,0.04149913076853819,0.4800960307850619,3.139475065678201,0.3628645223051064,-1045.2339102193414,2102.467820438683,0.9899035392859424,No,True,True
Crisis,Banks,234,0.3261438773854469,0.16882393958076813,0.7371465544467571,0.17071490252199245,0.7298091652697002,0.14237907035366387,-0.008787035389390121,0.11164681244433601,0.937268173080958,4.448126677938798,1.3528602873766398,-430.6762058705378,873.3524117410756,0.9152562875136606,No,True,True
Recovery,Banks,598,0.06721817043399461,0.044021089961530736,0.2643286968807961,0.11426347909228779,0.9460586537066782,0.033867791586999575,-0.038393055087246164,0.04098134240819086,0.3488396829216658,4.029591172165373,0.7342203747964996,-1040.8869075329994,2093.773815065999,0.760358093130133,No,True,True
Pre-Crisis,Capital_Goods,726,0.05543795473990208,0.020259726385307136,0.3157598618159996,0.04887894409235163,0.9627098646294231,0.012967072456473825,-0.0043423823166820735,0.027844463286693214,0.8760713498186758,4.116939545446919,0.6703373135039712,-1196.643848717502,2405.287697435004,0.9766929540274584,No,True,True
Crisis,Capital_Goods,234,0.3089414010903209,0.5118925965887042,0.6012117228900743,0.45641287056391694,0.8248046793074072,0.33364354313426153,-0.11939144476296448,0.08072815901746887,0.13915853253782742,3.525380892753164,0.8609902603401763,-467.34430644953295,946.6886128990659,0.9547059729416556,No,True,True
Recovery,Capital_Goods,598,0.027339929207070197,0.04537971435374522,0.3245138050978728,0.08339152198910806,0.7272787816752461,0.06778186247734416,-0.08071600096931442,0.05253274514239833,0.12441841933210218,4.477556038732287,0.8152622020181556,-812.9174249780574,1637.8348499561148,0.8791889718642774,No,True,True
Pre-Crisis,Consumer_Durables_and_Apparel,726,0.09732839608192567,0.029699071656007086,0.37382774066746866,0.06321181522026907,0.9495524169952358,0.01615978303343049,0.017124808645120514,0.031066137054742416,0.5814711209910823,3.9147041725679346,0.5870438207598964,-1376.6927287920053,2765.3854575840105,0.9408999651670146,No,True,True
