,ln_ASPI,ln_Exchange_Rate,Interest_Rate,ln_CCPI
Day 1,99.99999999999997,0.0,0.0,0.0
Day 2,99.77388720518519,0.00041929951316521457,0.1605230864976591,0.06517040880395329
Day 3,99.58115221203789,0.010634312374213814,0.26248096579140384,0.14573250979646046
Day 4,99.27125267856921,0.038052641556637894,0.5219762078077557,0.16871847206637167
Day 5,98.94486501467964,0.19341069725710278,0.6493797011987662,0.21234458686445454
Day 6,98.54071476439799,0.4244571461422953,0.6773415859210419,0.3574865035386531
Day 7,98.15476704979721,0.6265701000882531,0.7150696937563781,0.5035931563581377
Day 8,97.82437864999204,0.8037643228154695,0.7568084800658881,0.6150485471265805
Day 9,97.6105170540063,0.9425312699987476,0.7448738910615494,0.7020777849333841
Day 10,97.45636135153357,1.0536629407444036,0.7120997165570534,0.7778759911649414
Day 11,97.32454869733483,1.1487632510038759,0.6826702282961578,0.8440178233650986
Day 12,97.21239849256821,1.2302679727617787,0.6547897526874342,0.9025437819825227
Day 13,97.11836539826899,1.2996940970315487,0.6254134631905671,0.9565270415088528
Day 14,97.03528816758597,1.3591879825760078,0.5970527533111156,1.0084710965268526
Day 15,96.96003088021362,1.411631971991889,0.5701194833750151,1.0582176644194263
Day 16,96.89155140135071,1.458566382292749,0.5440622373524141,1.1058199790040892
Day 17,96.82817732895094,1.5008309173656218,0.5191125452028372,1.151879208480573
Day 18,96.76851576898663,1.539249462294264,0.4955309728326295,1.1967037958864555
Day 19,96.71156725284123,1.5746404167336796,0.47334896723709424,1.2404433631879808
Day 20,96.65665209638318,1.6075180932716093,0.4524424965065544,1.2833873138386533
Day 21,96.6031430786942,1.6382820971309782,0.4327787882517021,1.3257960359231071
Day 22,96.55050979453605,1.6673321984777933,0.4143499477071994,1.3678080592789594
Day 23,96.49837807451043,1.694968448923635,0.39712673144938077,1.4095267451165727
Day 24,96.44644702530992,1.7214201486773315,0.38107959624011456,1.4510532297726384
Day 25,96.39445213536277,1.7468825690237377,0.3661871587553912,1.492478136858093
Day 26,96.3421750737446,1.7715308233995128,0.35242472380649165,1.5338693790494013
Day 27,96.28943877697483,1.795509000367902,0.3397663439610263,1.5752858786962505
Day 28,96.23609413447264,1.8189364004058044,0.3281874686613238,1.6167819964602512
Day 29,96.18201918607141,1.8419154394216146,0.31766346007288754,1.6584019144340891
Day 30,96.12711496611279,1.8645347642518066,0.3081696853173212,1.7001805843181075
