Variable,Lag,p-value,Status
ln_ASPI,1,0.9559531849967741,✓ Pass
ln_ASPI,5,0.9670480763298017,✓ Pass
ln_ASPI,10,0.07168748745883113,✓ Pass
ln_Exchange_Rate,1,0.8480022265943137,✓ Pass
ln_Exchange_Rate,5,0.9977243706365413,✓ Pass
ln_Exchange_Rate,10,0.9993807529015282,✓ Pass
Interest_Rate,1,0.4100869181427528,✓ Pass
Interest_Rate,5,0.7188415798510582,✓ Pass
Interest_Rate,10,0.8357875546136461,✓ Pass
ln_CCPI,1,0.8013636203261072,✓ Pass
ln_CCPI,5,0.9983852531732095,✓ Pass
ln_CCPI,10,0.7059522586053665,✓ Pass
