Traded Date,Value
31 DEC 2025,22624.31
30 DEC 2025,22480.56
29 DEC 2025,22175.37
26 DEC 2025,22091.11
24 DEC 2025,21968.18
23 DEC 2025,21964.85
22 DEC 2025,21920
19 DEC 2025,22150.27
18 DEC 2025,22323.54
17 DEC 2025,22328.89
16 DEC 2025,22339.21
15 DEC 2025,22281.43
12 DEC 2025,22508.51
11 DEC 2025,22459.28
10 DEC 2025,22422.43
9 DEC 2025,22099.72
8 DEC 2025,21594.86
5 DEC 2025,21602.49
3 DEC 2025,21885.13
2 DEC 2025,22258.89
1 DEC 2025,22087.07
28 NOV 2025,22742.46
27 NOV 2025,22662.09
26 NOV 2025,22844.23
25 NOV 2025,22819.91
24 NOV 2025,22644.88
21 NOV 2025,22982.72
20 NOV 2025,23104.96
19 NOV 2025,23029.86
18 NOV 2025,23062.65
17 NOV 2025,23223.68
14 NOV 2025,23453.44
13 NOV 2025,23461.46
12 NOV 2025,23659.7
11 NOV 2025,23582.16
10 NOV 2025,23502.59
7 NOV 2025,23338.25
6 NOV 2025,23115.12
4 NOV 2025,22953.49
3 NOV 2025,22918.97
31 OCT 2025,22804.84
30 OCT 2025,22839.53
29 OCT 2025,22777.12
28 OCT 2025,22689.22
27 OCT 2025,22788.79
24 OCT 2025,22859.11
23 OCT 2025,22850.95
22 OCT 2025,22791.07
21 OCT 2025,22783.62
17 OCT 2025,22610.75
16 OCT 2025,22416.15
15 OCT 2025,22292.28
14 OCT 2025,22372.57
13 OCT 2025,22321.08
10 OCT 2025,22318.72
9 OCT 2025,22174.74
8 OCT 2025,22097.99
7 OCT 2025,22163.23
3 OCT 2025,22094.89
2 OCT 2025,21951.79
1 OCT 2025,21851.3
30 SEP 2025,21778.6
29 SEP 2025,21676.3
26 SEP 2025,21598.99
25 SEP 2025,21521.06
24 SEP 2025,21338.45
23 SEP 2025,21302.82
22 SEP 2025,21255.74
19 SEP 2025,21085.09
18 SEP 2025,20965.26
17 SEP 2025,20775.42
16 SEP 2025,20619.37
15 SEP 2025,20355.39
12 SEP 2025,20610.66
11 SEP 2025,20641.83
10 SEP 2025,20769.34
9 SEP 2025,20674.11
8 SEP 2025,20905.83
4 SEP 2025,20991.98
3 SEP 2025,20975.73
2 SEP 2025,20990.67
1 SEP 2025,21062.45
29 AUG 2025,20997.36
