Traded Date,Value
31 DEC 2025,1205.09
30 DEC 2025,1205.09
29 DEC 2025,1201.07
26 DEC 2025,1193.03
24 DEC 2025,1195.71
23 DEC 2025,1201.07
22 DEC 2025,1203.75
19 DEC 2025,1205.09
18 DEC 2025,1213.14
17 DEC 2025,1209.12
16 DEC 2025,1206.43
15 DEC 2025,1205.09
12 DEC 2025,1205.09
11 DEC 2025,1205.09
10 DEC 2025,1203.75
9 DEC 2025,1203.75
8 DEC 2025,1206.43
5 DEC 2025,1193.03
3 DEC 2025,1206.43
2 DEC 2025,1213.14
1 DEC 2025,1206.43
28 NOV 2025,1230.56
27 NOV 2025,1230.56
26 NOV 2025,1230.56
25 NOV 2025,1219.84
24 NOV 2025,1219.84
21 NOV 2025,1225.2
20 NOV 2025,1218.5
19 NOV 2025,1225.2
18 NOV 2025,1226.54
17 NOV 2025,1217.16
14 NOV 2025,1243.97
13 NOV 2025,1238.61
12 NOV 2025,1238.61
11 NOV 2025,1250.67
10 NOV 2025,1254.69
7 NOV 2025,1256.03
6 NOV 2025,1260.05
4 NOV 2025,1258.71
3 NOV 2025,1247.99
31 OCT 2025,1233.24
30 OCT 2025,1246.65
29 OCT 2025,1233.24
28 OCT 2025,1233.24
27 OCT 2025,1231.9
24 OCT 2025,1246.65
23 OCT 2025,1243.97
22 OCT 2025,1239.95
21 OCT 2025,1247.99
17 OCT 2025,1247.99
16 OCT 2025,1253.35
15 OCT 2025,1249.33
14 OCT 2025,1258.71
13 OCT 2025,1266.76
10 OCT 2025,1257.37
9 OCT 2025,1254.69
8 OCT 2025,1260.05
7 OCT 2025,1260.05
3 OCT 2025,1260.05
2 OCT 2025,1273.46
1 OCT 2025,1272.12
30 SEP 2025,1273.46
29 SEP 2025,1260.05
26 SEP 2025,1266.76
25 SEP 2025,1265.42
24 SEP 2025,1270.78
23 SEP 2025,1265.42
22 SEP 2025,1265.42
19 SEP 2025,1260.05
18 SEP 2025,1258.71
17 SEP 2025,1260.05
16 SEP 2025,1246.65
15 SEP 2025,1257.37
12 SEP 2025,1266.76
11 SEP 2025,1258.71
10 SEP 2025,1246.65
9 SEP 2025,1260.05
8 SEP 2025,1280.16
4 SEP 2025,1273.46
3 SEP 2025,1285.52
2 SEP 2025,1293.57
1 SEP 2025,1313.67
29 AUG 2025,1313.67
28 AUG 2025,1306.97
27 AUG 2025,1327.08
26 AUG 2025,1327.08
25 AUG 2025,1340.48
22 AUG 2025,1407.51
21 AUG 2025,1407.51
20 AUG 2025,1404.16
19 AUG 2025,1400.8
18 AUG 2025,1394.1
15 AUG 2025,1407.51
14 AUG 2025,1424.26
13 AUG 2025,1481.23
12 AUG 2025,1461.13
11 AUG 2025,1417.56
7 AUG 2025,1357.24
6 AUG 2025,1367.29
5 AUG 2025,1360.59
4 AUG 2025,1370.64
1 AUG 2025,1343.83
31 JUL 2025,1380.7
30 JUL 2025,1400.8
29 JUL 2025,1367.29
28 JUL 2025,1272.12
25 JUL 2025,1270.78
24 JUL 2025,1278.82
23 JUL 2025,1226.54
22 JUL 2025,1226.54
21 JUL 2025,1213.14
18 JUL 2025,1203.75
17 JUL 2025,1206.43
16 JUL 2025,1205.09
15 JUL 2025,1209.12
14 JUL 2025,1194.37
11 JUL 2025,1205.09
9 JUL 2025,1219.84
8 JUL 2025,1199.73
7 JUL 2025,1215.82
4 JUL 2025,1199.73
3 JUL 2025,1219.84
2 JUL 2025,1206.43
1 JUL 2025,1226.54
30 JUN 2025,1206.43
27 JUN 2025,1159.52
26 JUN 2025,1152.82
25 JUN 2025,1151.47
24 JUN 2025,1146.11
23 JUN 2025,1132.71
20 JUN 2025,1146.11
19 JUN 2025,1126.01
18 JUN 2025,1138.07
17 JUN 2025,1152.82
16 JUN 2025,1152.82
13 JUN 2025,1152.82
12 JUN 2025,1159.52
11 JUN 2025,1166.22
9 JUN 2025,1172.92
6 JUN 2025,1172.92
5 JUN 2025,1132.71
4 JUN 2025,1139.41
3 JUN 2025,1142.09
2 JUN 2025,1144.77
30 MAY 2025,1144.77
29 MAY 2025,1190.35
28 MAY 2025,1152.82
27 MAY 2025,1128.69
26 MAY 2025,1115.28
23 MAY 2025,1100.54
22 MAY 2025,1111.26
21 MAY 2025,1095.17
20 MAY 2025,1099.2
19 MAY 2025,1088.47
16 MAY 2025,1085.79
15 MAY 2025,1085.79
14 MAY 2025,1079.09
9 MAY 2025,1097.86
8 MAY 2025,1085.79
7 MAY 2025,1105.9
6 MAY 2025,1092.49
5 MAY 2025,1092.49
2 MAY 2025,1084.45
30 APR 2025,1077.75
29 APR 2025,1075.07
28 APR 2025,1097.86
25 APR 2025,1092.49
24 APR 2025,1072.39
23 APR 2025,1072.39
22 APR 2025,1092.49
21 APR 2025,1085.79
17 APR 2025,1087.13
16 APR 2025,1092.49
11 APR 2025,1085.79
10 APR 2025,1073.73
9 APR 2025,1038.87
8 APR 2025,1052.28
7 APR 2025,1028.15
4 APR 2025,1084.45
3 APR 2025,1079.09
2 APR 2025,1100.54
1 APR 2025,1092.49
28 MAR 2025,1085.79
27 MAR 2025,1100.54
26 MAR 2025,1079.09
25 MAR 2025,1092.49
24 MAR 2025,1138.07
21 MAR 2025,1072.39
20 MAR 2025,1065.68
19 MAR 2025,1045.58
18 MAR 2025,1045.58
17 MAR 2025,1048.26
14 MAR 2025,1069.71
12 MAR 2025,1045.58
11 MAR 2025,1056.3
10 MAR 2025,1053.62
7 MAR 2025,1064.34
6 MAR 2025,1058.98
5 MAR 2025,1058.98
4 MAR 2025,1069.71
3 MAR 2025,1058.98
28 FEB 2025,1076.41
27 FEB 2025,1075.07
25 FEB 2025,1091.15
24 FEB 2025,1103.22
21 FEB 2025,1099.2
20 FEB 2025,1100.54
19 FEB 2025,1099.2
18 FEB 2025,1103.22
17 FEB 2025,1109.92
14 FEB 2025,1112.6
13 FEB 2025,1112.6
11 FEB 2025,1073.73
10 FEB 2025,1085.79
7 FEB 2025,1113.94
6 FEB 2025,1117.96
5 FEB 2025,1126.01
3 FEB 2025,1152.82
31 JAN 2025,1152.82
30 JAN 2025,1152.82
29 JAN 2025,1158.18
28 JAN 2025,1162.2
27 JAN 2025,1162.2
24 JAN 2025,1166.22
23 JAN 2025,1179.62
22 JAN 2025,1179.62
21 JAN 2025,1191.69
20 JAN 2025,1178.28
17 JAN 2025,1170.24
16 JAN 2025,1170.24
15 JAN 2025,1179.62
10 JAN 2025,1163.54
9 JAN 2025,1179.62
8 JAN 2025,1179.62
7 JAN 2025,1147.45
6 JAN 2025,1166.22
3 JAN 2025,1233.24
2 JAN 2025,1213.14
31 DEC 2024,1126.01
30 DEC 2024,1113.94
27 DEC 2024,1099.2
26 DEC 2024,1105.9
24 DEC 2024,1095.17
23 DEC 2024,1103.22
20 DEC 2024,1108.58
19 DEC 2024,1099.2
18 DEC 2024,1072.39
17 DEC 2024,1084.45
16 DEC 2024,1084.45
13 DEC 2024,1085.79
12 DEC 2024,1085.79
11 DEC 2024,1088.47
10 DEC 2024,1079.09
9 DEC 2024,1088.47
6 DEC 2024,1085.79
5 DEC 2024,1092.49
4 DEC 2024,1034.85
3 DEC 2024,1025.47
2 DEC 2024,1012.06
29 NOV 2024,1018.77
28 NOV 2024,1005.36
27 NOV 2024,990.62
26 NOV 2024,995.98
25 NOV 2024,994.64
22 NOV 2024,1005.36
21 NOV 2024,991.96
20 NOV 2024,1006.7
19 NOV 2024,1004.02
18 NOV 2024,1005.36
14 NOV 2024,998.66
13 NOV 2024,1000
12 NOV 2024,1005.36
11 NOV 2024,1004.02
8 NOV 2024,998.66
7 NOV 2024,1004.02
6 NOV 2024,1005.36
5 NOV 2024,1005.36
4 NOV 2024,1020.11
1 NOV 2024,991.96
30 OCT 2024,994.64
29 OCT 2024,1000
28 OCT 2024,991.96
25 OCT 2024,991.96
24 OCT 2024,1004.02
23 OCT 2024,1000
22 OCT 2024,991.96
21 OCT 2024,990.62
18 OCT 2024,991.96
16 OCT 2024,985.25
15 OCT 2024,983.91
14 OCT 2024,982.57
11 OCT 2024,997.32
10 OCT 2024,995.98
9 OCT 2024,985.25
8 OCT 2024,979.89
7 OCT 2024,990.62
4 OCT 2024,987.94
3 OCT 2024,991.96
2 OCT 2024,991.96
1 OCT 2024,994.64
30 SEP 2024,985.25
27 SEP 2024,998.66
26 SEP 2024,978.55
25 SEP 2024,985.25
24 SEP 2024,963.81
23 SEP 2024,965.15
20 SEP 2024,977.21
19 SEP 2024,959.79
18 SEP 2024,970.51
13 SEP 2024,978.55
12 SEP 2024,965.15
11 SEP 2024,951.74
10 SEP 2024,959.79
9 SEP 2024,951.74
6 SEP 2024,965.15
5 SEP 2024,953.08
4 SEP 2024,965.15
3 SEP 2024,951.74
2 SEP 2024,951.74
30 AUG 2024,958.45
29 AUG 2024,965.15
28 AUG 2024,954.42
27 AUG 2024,965.15
26 AUG 2024,1064.34
23 AUG 2024,1085.79
22 AUG 2024,1064.34
21 AUG 2024,1052.28
20 AUG 2024,1045.58
16 AUG 2024,1045.58
15 AUG 2024,1018.77
14 AUG 2024,1014.75
13 AUG 2024,1036.19
12 AUG 2024,1005.36
9 AUG 2024,1005.36
8 AUG 2024,1017.43
7 AUG 2024,1017.43
6 AUG 2024,1005.36
5 AUG 2024,998.66
2 AUG 2024,1005.36
1 AUG 2024,1005.36
31 JUL 2024,1005.36
30 JUL 2024,1008.04
29 JUL 2024,1009.38
26 JUL 2024,1041.55
25 JUL 2024,1010.72
24 JUL 2024,1006.7
23 JUL 2024,1004.02
22 JUL 2024,1044.24
19 JUL 2024,1018.77
18 JUL 2024,1045.58
17 JUL 2024,1052.28
16 JUL 2024,1058.98
15 JUL 2024,1032.17
12 JUL 2024,1021.45
11 JUL 2024,1018.77
10 JUL 2024,1018.77
9 JUL 2024,1018.77
8 JUL 2024,1008.04
5 JUL 2024,1012.06
4 JUL 2024,1029.49
3 JUL 2024,1030.83
2 JUL 2024,1038.87
1 JUL 2024,1037.53
28 JUN 2024,1045.58
27 JUN 2024,1040.21
26 JUN 2024,1045.58
25 JUN 2024,1044.24
24 JUN 2024,1042.9
20 JUN 2024,1045.58
19 JUN 2024,1045.58
18 JUN 2024,1058.98
14 JUN 2024,1053.62
13 JUN 2024,1054.96
12 JUN 2024,1057.64
11 JUN 2024,1065.68
10 JUN 2024,1089.81
7 JUN 2024,1044.24
6 JUN 2024,1034.85
5 JUN 2024,1049.6
4 JUN 2024,1057.64
3 JUN 2024,1058.98
31 MAY 2024,1045.58
30 MAY 2024,1012.06
29 MAY 2024,1017.43
28 MAY 2024,1012.06
27 MAY 2024,1005.36
