Traded Date,Value
31 DEC 2025,1788.36
30 DEC 2025,1785.03
29 DEC 2025,1762.2
26 DEC 2025,1756.93
24 DEC 2025,1744.56
23 DEC 2025,1743.04
22 DEC 2025,1741.23
19 DEC 2025,1752.56
18 DEC 2025,1751.55
17 DEC 2025,1751.63
16 DEC 2025,1756.48
15 DEC 2025,1750.2
12 DEC 2025,1765.97
11 DEC 2025,1769.54
10 DEC 2025,1779.77
9 DEC 2025,1753.22
8 DEC 2025,1715.32
5 DEC 2025,1722.39
3 DEC 2025,1749.5
2 DEC 2025,1783.46
1 DEC 2025,1766.77
28 NOV 2025,1827.57
27 NOV 2025,1826.06
26 NOV 2025,1838.77
25 NOV 2025,1833.9
24 NOV 2025,1824.53
21 NOV 2025,1853.08
20 NOV 2025,1859.74
19 NOV 2025,1849.04
18 NOV 2025,1860.15
17 NOV 2025,1870.66
14 NOV 2025,1874.24
13 NOV 2025,1889.79
12 NOV 2025,1918.92
11 NOV 2025,1912.95
10 NOV 2025,1904.78
7 NOV 2025,1864.77
6 NOV 2025,1835.68
4 NOV 2025,1806.98
3 NOV 2025,1809.25
31 OCT 2025,1807.6
30 OCT 2025,1806.13
29 OCT 2025,1809.92
28 OCT 2025,1810.26
27 OCT 2025,1820.09
24 OCT 2025,1820.67
23 OCT 2025,1822.11
22 OCT 2025,1826.68
21 OCT 2025,1830.12
17 OCT 2025,1817.86
16 OCT 2025,1803.73
15 OCT 2025,1794.38
14 OCT 2025,1803.93
13 OCT 2025,1800.92
10 OCT 2025,1807.79
9 OCT 2025,1797.96
8 OCT 2025,1781.59
7 OCT 2025,1786.94
3 OCT 2025,1782.3
2 OCT 2025,1766.77
1 OCT 2025,1760.38
30 SEP 2025,1761.8
29 SEP 2025,1757.32
26 SEP 2025,1762.08
25 SEP 2025,1763.09
24 SEP 2025,1748.93
23 SEP 2025,1750.31
22 SEP 2025,1745.14
19 SEP 2025,1726.45
18 SEP 2025,1719.82
17 SEP 2025,1699.5
16 SEP 2025,1690.88
15 SEP 2025,1656.17
12 SEP 2025,1688.03
11 SEP 2025,1692.25
10 SEP 2025,1711.56
9 SEP 2025,1690.18
8 SEP 2025,1710.11
4 SEP 2025,1726.27
3 SEP 2025,1725.34
2 SEP 2025,1739.96
1 SEP 2025,1752.51
29 AUG 2025,1753.04
28 AUG 2025,1748.18
27 AUG 2025,1753.8
26 AUG 2025,1752.92
25 AUG 2025,1745.38
22 AUG 2025,1763.27
21 AUG 2025,1773.76
20 AUG 2025,1780.41
19 AUG 2025,1761.38
18 AUG 2025,1716.39
15 AUG 2025,1674.86
14 AUG 2025,1631.04
13 AUG 2025,1638.73
12 AUG 2025,1641.03
11 AUG 2025,1635.03
7 AUG 2025,1633.09
6 AUG 2025,1633.67
5 AUG 2025,1635.09
4 AUG 2025,1638.48
1 AUG 2025,1637.32
31 JUL 2025,1592.61
30 JUL 2025,1589.24
29 JUL 2025,1583.84
28 JUL 2025,1586.31
25 JUL 2025,1584.94
24 JUL 2025,1578.96
23 JUL 2025,1565.97
22 JUL 2025,1554.14
21 JUL 2025,1539.94
18 JUL 2025,1537.63
17 JUL 2025,1536.09
16 JUL 2025,1544.21
15 JUL 2025,1547.88
14 JUL 2025,1539.51
11 JUL 2025,1482.04
9 JUL 2025,1438.73
