,Item Name,Unit,Scale,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec
,Prices and Indices-Colombo Consumers’ Price Index (CCPI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CCPI(2021=100)(Headline) ,Index Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.3,125.8,129.7,142.1,153.6,171.7,178.9,182.8,189.3,188.5,187.1,187.6,188.6,189.5,195,192.3,192.3,192.3,190.2,190.1,191.8,191.4,193.4,195.1,200.7,200.6,196.7,195.2,194.1,195.6,194.7,191.1,190.9,189.9,189.4,191.7,192.6,192.2,191.6,191.2,192.8,194.5,194.1,193.3,193.7,193.8,193.4,195.8
,Prices and Indices-Colombo Consumers' Price Index (CCPI)(2013=100) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CCPI(2013=100)(Headline) ,Index Value,,127.4,126.8,126.6,127,129,130.2,130,130.1,131.1,131.3,131.7,132.4,134.6,134.6,133.4,133.6,134.2,135.3,135.4,135.4,136.3,136.5,137.1,138,138.7,139.1,138.9,138.8,140.3,142.4,143.1,143.5,144.1,146.9,150.7,154.7,158.4,160.1,164.9,180.2,195.2,220.2,230.1,235.8,244.7,243.8,242.6,243.2,244.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates-Monthly Exchange Rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Monthly Average Exchange Rates ,,,182.13,178.73,178.43,174.8,176.44,176.59,175.99,177.97,180.78,181.45,180.37,181.25,181.4,181.56,185.06,193.09,187.87,185.95,185.85,184.89,185.03,184.44,184.79,187.18,190.49,194.07,196.98,197.42,199.58,199.82,199.98,200.5,201.99,201.09,201.86,201.4,201.46,201.74,255.81,319.44,358.94,360.24,360.87,361,362.38,363.15,363.39,363.17,362.42,361.98,329.47,321.42,310.16,301.26,319.29,321.58,322.77,324.73,328.25,326.74,321.17,312.58,305.66,299.42,299.69,303.81,303.76,300.67,301.15,293.79,292.01,291.68,296.18,296.8,295.91,298.53,299.41,299.9,301.12,301.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1) CCPI(2021=100)(Headline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
