Traded Date,Value
31 DEC 2025,2470.89
30 DEC 2025,2455.38
29 DEC 2025,2411.74
26 DEC 2025,2386.39
24 DEC 2025,2374.4
23 DEC 2025,2371.52
22 DEC 2025,2347.74
19 DEC 2025,2395.66
18 DEC 2025,2446.2
17 DEC 2025,2451.66
16 DEC 2025,2451.47
15 DEC 2025,2448.25
12 DEC 2025,2484.99
11 DEC 2025,2475.03
10 DEC 2025,2457.64
9 DEC 2025,2414.65
8 DEC 2025,2350.94
5 DEC 2025,2336.75
3 DEC 2025,2362.25
2 DEC 2025,2398.4
1 DEC 2025,2378.81
28 NOV 2025,2420.87
27 NOV 2025,2422.18
26 NOV 2025,2439.28
25 NOV 2025,2436.04
24 NOV 2025,2427.56
21 NOV 2025,2462.62
20 NOV 2025,2464.88
19 NOV 2025,2454.82
18 NOV 2025,2441.88
17 NOV 2025,2452.71
14 NOV 2025,2454.16
13 NOV 2025,2457.67
12 NOV 2025,2478.84
11 NOV 2025,2452.11
10 NOV 2025,2414.05
7 NOV 2025,2396.46
6 NOV 2025,2367.13
4 NOV 2025,2351.85
3 NOV 2025,2341.25
31 OCT 2025,2315.67
30 OCT 2025,2304.64
29 OCT 2025,2301.76
28 OCT 2025,2308.88
27 OCT 2025,2321.87
24 OCT 2025,2318.37
23 OCT 2025,2297.32
22 OCT 2025,2292.78
21 OCT 2025,2298.82
17 OCT 2025,2304.76
16 OCT 2025,2292.54
15 OCT 2025,2281.04
14 OCT 2025,2290.21
13 OCT 2025,2298.74
10 OCT 2025,2307.8
9 OCT 2025,2255.32
8 OCT 2025,2273.26
7 OCT 2025,2286.85
3 OCT 2025,2301.8
2 OCT 2025,2306.2
1 OCT 2025,2300.12
30 SEP 2025,2283.47
29 SEP 2025,2292.72
26 SEP 2025,2280.82
25 SEP 2025,2271.36
24 SEP 2025,2284.34
23 SEP 2025,2302.74
22 SEP 2025,2308.12
19 SEP 2025,2278.13
18 SEP 2025,2250.08
17 SEP 2025,2207.53
16 SEP 2025,2205.71
15 SEP 2025,2177.29
12 SEP 2025,2184.11
11 SEP 2025,2183.99
10 SEP 2025,2210.45
9 SEP 2025,2199.12
8 SEP 2025,2224.26
4 SEP 2025,2236.24
3 SEP 2025,2231.84
2 SEP 2025,2236.62
1 SEP 2025,2250
29 AUG 2025,2270.74
28 AUG 2025,2258.29
27 AUG 2025,2259.39
26 AUG 2025,2262.87
25 AUG 2025,2262.44
22 AUG 2025,2283.93
21 AUG 2025,2279.14
20 AUG 2025,2269.28
19 AUG 2025,2238.28
18 AUG 2025,2257.16
15 AUG 2025,2239.65
14 AUG 2025,2224.65
13 AUG 2025,2232.69
12 AUG 2025,2240.9
11 AUG 2025,2260.94
7 AUG 2025,2270.34
6 AUG 2025,2281.66
5 AUG 2025,2278.38
4 AUG 2025,2297.46
1 AUG 2025,2332.89
31 JUL 2025,2287.87
30 JUL 2025,2296.74
29 JUL 2025,2307.15
28 JUL 2025,2323.11
25 JUL 2025,2319.95
24 JUL 2025,2315
23 JUL 2025,2307.24
22 JUL 2025,2303.38
