Traded Date,Value
31 DEC 2025,1674.49
30 DEC 2025,1668.27
29 DEC 2025,1696.72
26 DEC 2025,1662.72
24 DEC 2025,1709.09
23 DEC 2025,1673.14
22 DEC 2025,1682.69
19 DEC 2025,1671.13
18 DEC 2025,1693.53
17 DEC 2025,1718.04
16 DEC 2025,1725.32
15 DEC 2025,1716.6
12 DEC 2025,1716.21
11 DEC 2025,1697.97
10 DEC 2025,1734.7
9 DEC 2025,1703.42
8 DEC 2025,1638.49
5 DEC 2025,1704.97
3 DEC 2025,1753.55
2 DEC 2025,1749.51
1 DEC 2025,1757.05
28 NOV 2025,1743.87
27 NOV 2025,1809.05
26 NOV 2025,1786.03
25 NOV 2025,1800.18
24 NOV 2025,1758.15
21 NOV 2025,1786.82
20 NOV 2025,1752.07
19 NOV 2025,1784.32
18 NOV 2025,1747.94
17 NOV 2025,1757.97
14 NOV 2025,1763.06
13 NOV 2025,1765.72
12 NOV 2025,1826.79
11 NOV 2025,1836.66
10 NOV 2025,1846.53
7 NOV 2025,1872.06
6 NOV 2025,1830.98
4 NOV 2025,1854.17
3 NOV 2025,1822.35
31 OCT 2025,1822.53
30 OCT 2025,1835.97
29 OCT 2025,1855.79
28 OCT 2025,1769.68
27 OCT 2025,1812.36
24 OCT 2025,1776.96
23 OCT 2025,1812.5
22 OCT 2025,1793.49
21 OCT 2025,1729.1
17 OCT 2025,1717.13
16 OCT 2025,1639.52
15 OCT 2025,1649.72
14 OCT 2025,1657.98
13 OCT 2025,1664.57
10 OCT 2025,1672.11
9 OCT 2025,1693.98
8 OCT 2025,1717.91
7 OCT 2025,1691.57
3 OCT 2025,1725.97
2 OCT 2025,1671.67
1 OCT 2025,1566.3
30 SEP 2025,1564.76
29 SEP 2025,1605.66
26 SEP 2025,1599.42
25 SEP 2025,1531.57
24 SEP 2025,1529.52
23 SEP 2025,1543.4
22 SEP 2025,1553.98
19 SEP 2025,1540.15
18 SEP 2025,1548.8
17 SEP 2025,1539.55
16 SEP 2025,1521.66
15 SEP 2025,1526.09
12 SEP 2025,1539.81
11 SEP 2025,1523.18
10 SEP 2025,1524.39
9 SEP 2025,1530.32
8 SEP 2025,1560.74
4 SEP 2025,1567.04
3 SEP 2025,1520.51
2 SEP 2025,1525.43
1 SEP 2025,1505.04
29 AUG 2025,1531.13
28 AUG 2025,1511.21
27 AUG 2025,1517.94
26 AUG 2025,1495.13
25 AUG 2025,1507.61
22 AUG 2025,1480.85
21 AUG 2025,1516.73
20 AUG 2025,1504.12
19 AUG 2025,1508.64
18 AUG 2025,1501.68
15 AUG 2025,1537.02
14 AUG 2025,1494.15
13 AUG 2025,1532.8
12 AUG 2025,1532.6
11 AUG 2025,1517.75
7 AUG 2025,1551.9
6 AUG 2025,1507.44
5 AUG 2025,1563.35
4 AUG 2025,1531.45
1 AUG 2025,1566.95
31 JUL 2025,1593.72
30 JUL 2025,1620.38
29 JUL 2025,1575.49
28 JUL 2025,1551.05
25 JUL 2025,1590.97
24 JUL 2025,1612.4
23 JUL 2025,1545.43
22 JUL 2025,1539.16
21 JUL 2025,1513.22
18 JUL 2025,1502.49
17 JUL 2025,1509.88
16 JUL 2025,1522.06
15 JUL 2025,1497.19
14 JUL 2025,1455.54
11 JUL 2025,1509.23
9 JUL 2025,1475.89
8 JUL 2025,1495.8
7 JUL 2025,1496.05
4 JUL 2025,1478.29
3 JUL 2025,1498.28
2 JUL 2025,1496.1
1 JUL 2025,1465.5
30 JUN 2025,1508.08
27 JUN 2025,1499.33
26 JUN 2025,1484.24
25 JUN 2025,1489.18
24 JUN 2025,1480.46
23 JUN 2025,1445.77
20 JUN 2025,1470.83
19 JUN 2025,1470.14
18 JUN 2025,1478.4
17 JUN 2025,1507.65
16 JUN 2025,1518.31
13 JUN 2025,1527.3
12 JUN 2025,1527.21
11 JUN 2025,1498.39
9 JUN 2025,1495.53
6 JUN 2025,1490.53
5 JUN 2025,1464.74
4 JUN 2025,1473.12
3 JUN 2025,1514.73
2 JUN 2025,1540.95
30 MAY 2025,1509.96
29 MAY 2025,1563.28
28 MAY 2025,1565.8
27 MAY 2025,1534.06
26 MAY 2025,1553.45
23 MAY 2025,1556.05
22 MAY 2025,1587.89
21 MAY 2025,1552.35
20 MAY 2025,1577.15
19 MAY 2025,1597.79
16 MAY 2025,1581.92
15 MAY 2025,1599.9
14 MAY 2025,1598.03
9 MAY 2025,1558.51
8 MAY 2025,1596.36
7 MAY 2025,1595.1
6 MAY 2025,1612.36
5 MAY 2025,1620.62
2 MAY 2025,1635.83
30 APR 2025,1597.9
29 APR 2025,1519.83
28 APR 2025,1509.25
25 APR 2025,1502.96
24 APR 2025,1452.78
23 APR 2025,1465.45
22 APR 2025,1432.17
21 APR 2025,1466.23
17 APR 2025,1456.65
16 APR 2025,1424.96
11 APR 2025,1435.67
10 APR 2025,1429.58
9 APR 2025,1403.88
8 APR 2025,1418.12
7 APR 2025,1412.32
4 APR 2025,1426.57
3 APR 2025,1494.76
2 APR 2025,1501.99
1 APR 2025,1485.6
28 MAR 2025,1420.31
27 MAR 2025,1465.02
26 MAR 2025,1481.46
25 MAR 2025,1491.85
24 MAR 2025,1445.49
21 MAR 2025,1471.51
20 MAR 2025,1499.82
19 MAR 2025,1443.67
18 MAR 2025,1463.53
17 MAR 2025,1515.22
14 MAR 2025,1521
12 MAR 2025,1509.65
11 MAR 2025,1497.62
10 MAR 2025,1546.81
7 MAR 2025,1550.75
6 MAR 2025,1507.49
5 MAR 2025,1460.9
4 MAR 2025,1442.7
3 MAR 2025,1449.23
28 FEB 2025,1520.28
27 FEB 2025,1531.73
25 FEB 2025,1496.67
24 FEB 2025,1496.61
21 FEB 2025,1568.28
20 FEB 2025,1534.95
19 FEB 2025,1572.64
18 FEB 2025,1582.18
17 FEB 2025,1574.68
14 FEB 2025,1621.29
13 FEB 2025,1684.64
11 FEB 2025,1539.89
10 FEB 2025,1573.33
7 FEB 2025,1622.02
6 FEB 2025,1578.1
5 FEB 2025,1556.95
3 FEB 2025,1499.11
31 JAN 2025,1573.33
30 JAN 2025,1607.49
29 JAN 2025,1622.47
28 JAN 2025,1492.6
27 JAN 2025,1419.16
24 JAN 2025,1443.71
23 JAN 2025,1420.58
22 JAN 2025,1448.76
21 JAN 2025,1402.66
20 JAN 2025,1420.16
17 JAN 2025,1436.06
16 JAN 2025,1428.41
15 JAN 2025,1313.01
10 JAN 2025,1306.19
9 JAN 2025,1304.13
8 JAN 2025,1288.22
7 JAN 2025,1241.89
6 JAN 2025,1233.25
3 JAN 2025,1261.95
2 JAN 2025,1270.34
31 DEC 2024,1268.45
30 DEC 2024,1297.96
27 DEC 2024,1305.03
26 DEC 2024,1292.32
24 DEC 2024,1257.69
23 DEC 2024,1246.81
20 DEC 2024,1282.65
19 DEC 2024,1251.46
18 DEC 2024,1251.42
17 DEC 2024,1171.64
16 DEC 2024,1160.46
13 DEC 2024,1156.93
12 DEC 2024,1187.85
11 DEC 2024,1186.52
10 DEC 2024,1197.98
9 DEC 2024,1179.24
6 DEC 2024,1142.43
5 DEC 2024,1156.22
4 DEC 2024,1182.5
3 DEC 2024,1174.81
2 DEC 2024,1185.85
29 NOV 2024,1207.54
28 NOV 2024,1171.77
27 NOV 2024,1130.63
26 NOV 2024,1153.32
25 NOV 2024,1130.35
22 NOV 2024,1116.5
21 NOV 2024,1093.95
20 NOV 2024,1075.53
19 NOV 2024,1081.37
18 NOV 2024,1081.4
14 NOV 2024,1091.54
13 NOV 2024,1132.23
12 NOV 2024,1136.06
11 NOV 2024,1119.57
8 NOV 2024,1121.44
7 NOV 2024,1101.55
6 NOV 2024,1125.02
5 NOV 2024,1116.24
4 NOV 2024,1113.38
1 NOV 2024,1137.45
