Traded Date,Value
31 DEC 2025,2135.79
30 DEC 2025,2127.25
29 DEC 2025,2079.21
26 DEC 2025,2085.03
24 DEC 2025,2082.93
23 DEC 2025,2065.62
22 DEC 2025,2047.63
19 DEC 2025,2093.59
18 DEC 2025,2123.22
17 DEC 2025,2108.04
16 DEC 2025,2101.66
15 DEC 2025,2115.73
12 DEC 2025,2127.77
11 DEC 2025,2133.21
10 DEC 2025,2148.02
9 DEC 2025,2116.97
8 DEC 2025,2104.58
5 DEC 2025,2108.68
3 DEC 2025,2125.05
2 DEC 2025,2181
1 DEC 2025,2162.36
28 NOV 2025,2200.56
27 NOV 2025,2194.08
26 NOV 2025,2208.98
25 NOV 2025,2201.37
24 NOV 2025,2210.19
21 NOV 2025,2243.22
20 NOV 2025,2279.7
19 NOV 2025,2273.29
18 NOV 2025,2291.75
17 NOV 2025,2305.25
14 NOV 2025,2335.45
13 NOV 2025,2351.58
12 NOV 2025,2342.79
11 NOV 2025,2341.65
10 NOV 2025,2365.28
7 NOV 2025,2350.35
6 NOV 2025,2311.42
4 NOV 2025,2316.56
3 NOV 2025,2289.29
31 OCT 2025,2280.28
30 OCT 2025,2312.87
29 OCT 2025,2311.97
28 OCT 2025,2306.81
27 OCT 2025,2331.74
24 OCT 2025,2312.8
23 OCT 2025,2295.56
22 OCT 2025,2310.22
21 OCT 2025,2290.96
17 OCT 2025,2305.34
16 OCT 2025,2309.98
15 OCT 2025,2278.9
14 OCT 2025,2288.98
13 OCT 2025,2282.9
10 OCT 2025,2204.02
9 OCT 2025,2222.27
8 OCT 2025,2221.48
7 OCT 2025,2200.94
3 OCT 2025,2197.68
2 OCT 2025,2198.01
1 OCT 2025,2179.11
30 SEP 2025,2158.87
29 SEP 2025,2134.65
26 SEP 2025,2134.41
25 SEP 2025,2143.25
24 SEP 2025,2139.88
23 SEP 2025,2163.31
22 SEP 2025,2170.87
19 SEP 2025,2151.12
18 SEP 2025,2149.59
17 SEP 2025,2138.04
16 SEP 2025,2124.22
15 SEP 2025,2094.28
12 SEP 2025,2128.19
11 SEP 2025,2169.52
10 SEP 2025,2178.37
9 SEP 2025,2158.77
8 SEP 2025,2197.34
4 SEP 2025,2216.27
3 SEP 2025,2219.35
2 SEP 2025,2236.02
1 SEP 2025,2279.09
29 AUG 2025,2268.65
28 AUG 2025,2252.89
27 AUG 2025,2171.67
26 AUG 2025,2130.07
25 AUG 2025,2110.26
22 AUG 2025,2138.97
21 AUG 2025,2145.1
20 AUG 2025,2098.18
19 AUG 2025,2081.87
18 AUG 2025,2081.24
15 AUG 2025,2112.69
14 AUG 2025,2115.38
13 AUG 2025,2093.14
12 AUG 2025,2116.04
11 AUG 2025,2108.14
7 AUG 2025,2094.83
6 AUG 2025,2083.61
5 AUG 2025,2088.65
4 AUG 2025,2088.53
1 AUG 2025,2132.6
31 JUL 2025,2071.81
30 JUL 2025,2059.7
29 JUL 2025,2048.58
