Traded Date,Value
31 DEC 2025,667.94
30 DEC 2025,657.57
29 DEC 2025,637.09
26 DEC 2025,633.45
24 DEC 2025,627.54
23 DEC 2025,623.62
22 DEC 2025,624.74
19 DEC 2025,632.2
18 DEC 2025,637.77
17 DEC 2025,637.5
16 DEC 2025,635.62
15 DEC 2025,636.67
12 DEC 2025,643.67
11 DEC 2025,643.46
10 DEC 2025,644.23
9 DEC 2025,635.69
8 DEC 2025,626.76
5 DEC 2025,624.47
3 DEC 2025,625.03
2 DEC 2025,638
1 DEC 2025,643.98
28 NOV 2025,690.1
27 NOV 2025,692.72
26 NOV 2025,705.41
25 NOV 2025,701.56
24 NOV 2025,682.72
21 NOV 2025,696.09
20 NOV 2025,694.36
19 NOV 2025,690.35
18 NOV 2025,690.03
17 NOV 2025,703.54
14 NOV 2025,713.59
13 NOV 2025,711.01
12 NOV 2025,714.47
11 NOV 2025,716.34
10 NOV 2025,712.52
7 NOV 2025,715
6 NOV 2025,713.63
4 NOV 2025,719.84
3 NOV 2025,722.17
31 OCT 2025,720.74
30 OCT 2025,721.27
29 OCT 2025,716.9
28 OCT 2025,709.07
27 OCT 2025,713.44
24 OCT 2025,718.81
23 OCT 2025,724.34
22 OCT 2025,730.28
21 OCT 2025,732.48
17 OCT 2025,732.96
16 OCT 2025,729.17
15 OCT 2025,722.34
14 OCT 2025,726.26
13 OCT 2025,728.84
10 OCT 2025,729.41
9 OCT 2025,729.77
8 OCT 2025,732.65
7 OCT 2025,731.5
3 OCT 2025,737.9
2 OCT 2025,741.35
1 OCT 2025,739.64
30 SEP 2025,730.51
29 SEP 2025,719.74
26 SEP 2025,728.7
25 SEP 2025,726.19
24 SEP 2025,699.55
23 SEP 2025,696.2
22 SEP 2025,696.17
19 SEP 2025,692.54
18 SEP 2025,694.06
17 SEP 2025,687.11
16 SEP 2025,672.89
15 SEP 2025,653.06
12 SEP 2025,663.17
11 SEP 2025,663.78
10 SEP 2025,670.89
9 SEP 2025,662.82
8 SEP 2025,673.02
4 SEP 2025,689.27
3 SEP 2025,685.43
2 SEP 2025,675.33
1 SEP 2025,652.65
29 AUG 2025,649.72
28 AUG 2025,634.43
27 AUG 2025,635.69
26 AUG 2025,627.74
25 AUG 2025,625.28
22 AUG 2025,621.6
21 AUG 2025,624.22
20 AUG 2025,609.42
19 AUG 2025,601.39
18 AUG 2025,591.39
15 AUG 2025,585.4
14 AUG 2025,587.46
13 AUG 2025,587.21
12 AUG 2025,590.01
11 AUG 2025,587.46
7 AUG 2025,587.97
6 AUG 2025,593.18
5 AUG 2025,589.27
4 AUG 2025,588.56
1 AUG 2025,592.83
31 JUL 2025,582.74
30 JUL 2025,578.76
29 JUL 2025,581.79
28 JUL 2025,578.28
25 JUL 2025,573.91
24 JUL 2025,572.75
23 JUL 2025,571.3
22 JUL 2025,568.93
21 JUL 2025,568.39
18 JUL 2025,571.66
17 JUL 2025,572.24
16 JUL 2025,533.03
15 JUL 2025,519.42
14 JUL 2025,517.41
11 JUL 2025,513.71
9 JUL 2025,509.83
8 JUL 2025,512.75
7 JUL 2025,516.42
4 JUL 2025,515.79
3 JUL 2025,516.54
2 JUL 2025,514.82
1 JUL 2025,518.59
30 JUN 2025,518.72
27 JUN 2025,516.65
26 JUN 2025,493.28
25 JUN 2025,485.71
24 JUN 2025,481.42
23 JUN 2025,471.78
20 JUN 2025,481.01
19 JUN 2025,474.33
18 JUN 2025,480.8
17 JUN 2025,485.8
16 JUN 2025,493.06
13 JUN 2025,493.51
12 JUN 2025,496.29
11 JUN 2025,495.44
9 JUN 2025,496.04
6 JUN 2025,496.45
5 JUN 2025,498.41
4 JUN 2025,493.29
3 JUN 2025,495.62
2 JUN 2025,492.75
30 MAY 2025,495.28
29 MAY 2025,492.75
28 MAY 2025,494.08
27 MAY 2025,494.14
26 MAY 2025,497.59
23 MAY 2025,498.17
22 MAY 2025,498.35
21 MAY 2025,500.57
20 MAY 2025,502.48
19 MAY 2025,506.96
16 MAY 2025,509.75
15 MAY 2025,508.25
14 MAY 2025,505.84
9 MAY 2025,496.57
8 MAY 2025,495.06
7 MAY 2025,496.85
6 MAY 2025,498.7
5 MAY 2025,499.97
2 MAY 2025,501.23
30 APR 2025,501.22
29 APR 2025,500.42
28 APR 2025,497.4
25 APR 2025,495.13
24 APR 2025,489.08
23 APR 2025,489.86
22 APR 2025,488.76
21 APR 2025,492.28
17 APR 2025,495.25
16 APR 2025,492.33
11 APR 2025,493.59
10 APR 2025,491.7
9 APR 2025,480.65
8 APR 2025,483.26
7 APR 2025,470.04
4 APR 2025,486.76
3 APR 2025,494.65
2 APR 2025,499.05
1 APR 2025,491.89
28 MAR 2025,492.33
27 MAR 2025,491.38
26 MAR 2025,491.37
25 MAR 2025,492.59
24 MAR 2025,497.19
21 MAR 2025,497.8
20 MAR 2025,488.64
19 MAR 2025,478.46
18 MAR 2025,478.94
17 MAR 2025,484.98
14 MAR 2025,489.3
12 MAR 2025,490.53
11 MAR 2025,485.71
10 MAR 2025,496.3
7 MAR 2025,500.68
6 MAR 2025,501.91
5 MAR 2025,505.48
4 MAR 2025,493.71
3 MAR 2025,505.38
28 FEB 2025,512.72
27 FEB 2025,508.51
25 FEB 2025,505.09
24 FEB 2025,512.1
21 FEB 2025,520.8
20 FEB 2025,523.91
19 FEB 2025,526.82
18 FEB 2025,531.88
17 FEB 2025,539.58
14 FEB 2025,541.84
13 FEB 2025,529.54
11 FEB 2025,523.43
10 FEB 2025,532.46
7 FEB 2025,540.01
6 FEB 2025,540.71
5 FEB 2025,537.06
3 FEB 2025,556.65
31 JAN 2025,563.25
30 JAN 2025,558.34
29 JAN 2025,563.2
28 JAN 2025,565.93
27 JAN 2025,569.57
24 JAN 2025,567.95
23 JAN 2025,574.38
22 JAN 2025,579.08
21 JAN 2025,575.19
20 JAN 2025,558.87
17 JAN 2025,544.76
16 JAN 2025,542.57
15 JAN 2025,531.15
10 JAN 2025,527.64
9 JAN 2025,523.77
8 JAN 2025,531.82
7 JAN 2025,528.32
6 JAN 2025,531.07
3 JAN 2025,544.24
2 JAN 2025,551.4
31 DEC 2024,534.68
30 DEC 2024,537.97
27 DEC 2024,542.35
26 DEC 2024,542.03
24 DEC 2024,535.36
23 DEC 2024,511.34
20 DEC 2024,507.93
19 DEC 2024,501.53
18 DEC 2024,500.03
17 DEC 2024,500.36
16 DEC 2024,495.87
13 DEC 2024,495.54
12 DEC 2024,501.74
11 DEC 2024,494.69
10 DEC 2024,496.23
9 DEC 2024,497.38
6 DEC 2024,489.14
5 DEC 2024,489.46
4 DEC 2024,492.76
3 DEC 2024,491.67
2 DEC 2024,483.04
29 NOV 2024,479.16
28 NOV 2024,464.16
27 NOV 2024,452.13
26 NOV 2024,443.88
25 NOV 2024,441.94
22 NOV 2024,451.33
21 NOV 2024,449.04
20 NOV 2024,455.36
19 NOV 2024,455.21
18 NOV 2024,447.05
14 NOV 2024,440.57
13 NOV 2024,429.92
12 NOV 2024,418.61
11 NOV 2024,415.54
8 NOV 2024,414.61
7 NOV 2024,413.2
6 NOV 2024,412.84
5 NOV 2024,415.71
4 NOV 2024,417.58
1 NOV 2024,413.35
30 OCT 2024,412.3
29 OCT 2024,415.67
28 OCT 2024,411.15
25 OCT 2024,410.19
24 OCT 2024,409.25
23 OCT 2024,414.68
22 OCT 2024,419.14
21 OCT 2024,421.44
18 OCT 2024,423.35
16 OCT 2024,426.78
15 OCT 2024,424.57
14 OCT 2024,420.6
11 OCT 2024,418.05
10 OCT 2024,414.97
9 OCT 2024,417.24
8 OCT 2024,419.02
7 OCT 2024,417.17
4 OCT 2024,421.52
3 OCT 2024,420.54
2 OCT 2024,423.56
1 OCT 2024,424.63
30 SEP 2024,427.44
27 SEP 2024,426.16
26 SEP 2024,407.81
25 SEP 2024,413.1
24 SEP 2024,402.19
23 SEP 2024,391.02
20 SEP 2024,386.43
19 SEP 2024,382.89
18 SEP 2024,383.05
13 SEP 2024,376.23
12 SEP 2024,374.77
11 SEP 2024,374.9
10 SEP 2024,372.83
9 SEP 2024,377.12
6 SEP 2024,378.92
5 SEP 2024,380.81
4 SEP 2024,380.21
3 SEP 2024,376.17
2 SEP 2024,373.1
30 AUG 2024,384
29 AUG 2024,384.87
28 AUG 2024,388.31
27 AUG 2024,392.26
26 AUG 2024,392.39
23 AUG 2024,399.35
22 AUG 2024,406.07
21 AUG 2024,405
20 AUG 2024,402.75
16 AUG 2024,405.93
15 AUG 2024,404.53
14 AUG 2024,405.07
13 AUG 2024,400.6
12 AUG 2024,400.5
9 AUG 2024,396.34
8 AUG 2024,396.8
7 AUG 2024,401.59
6 AUG 2024,398.78
5 AUG 2024,396.92
2 AUG 2024,405.13
1 AUG 2024,404.86
31 JUL 2024,403.5
30 JUL 2024,408.61
29 JUL 2024,412.08
26 JUL 2024,409.99
25 JUL 2024,409.06
24 JUL 2024,410.8
23 JUL 2024,409.4
22 JUL 2024,403.24
19 JUL 2024,412.13
18 JUL 2024,411.5
17 JUL 2024,413.26
16 JUL 2024,417.88
15 JUL 2024,418.8
12 JUL 2024,414.94
11 JUL 2024,414.92
10 JUL 2024,417.17
9 JUL 2024,415.16
8 JUL 2024,418.76
5 JUL 2024,418.48
4 JUL 2024,419.62
3 JUL 2024,420.79
2 JUL 2024,425.56
1 JUL 2024,423.51
28 JUN 2024,423.25
27 JUN 2024,423.79
26 JUN 2024,425.88
25 JUN 2024,431.27
24 JUN 2024,429.9
20 JUN 2024,430.16
19 JUN 2024,430.07
18 JUN 2024,433.49
14 JUN 2024,433.7
13 JUN 2024,436.75
12 JUN 2024,437.06
11 JUN 2024,436.72
10 JUN 2024,438.35
7 JUN 2024,437.69
6 JUN 2024,441.06
5 JUN 2024,439.04
4 JUN 2024,434.81
3 JUN 2024,435.3
31 MAY 2024,437.5
30 MAY 2024,440.83
29 MAY 2024,438.89
28 MAY 2024,439.17
27 MAY 2024,441.49
22 MAY 2024,443.11
21 MAY 2024,443.49
20 MAY 2024,442.91
17 MAY 2024,447.47
16 MAY 2024,446.24
15 MAY 2024,446.27
14 MAY 2024,448.45
13 MAY 2024,453.55
10 MAY 2024,455.5
9 MAY 2024,457.21
8 MAY 2024,455.7
7 MAY 2024,460.67
6 MAY 2024,461.18
3 MAY 2024,465.06
2 MAY 2024,458.06
30 APR 2024,455.58
29 APR 2024,455.35
26 APR 2024,453.11
25 APR 2024,453.23
24 APR 2024,452.27
22 APR 2024,445.68
19 APR 2024,445.23
18 APR 2024,447.2
17 APR 2024,454.46
16 APR 2024,436.03
15 APR 2024,441.17
10 APR 2024,444.71
9 APR 2024,442.59
8 APR 2024,439.42
5 APR 2024,437.36
4 APR 2024,434.07
3 APR 2024,431.62
2 APR 2024,432.64
1 APR 2024,429.59
28 MAR 2024,422.43
27 MAR 2024,421.22
26 MAR 2024,419.97
25 MAR 2024,420.93
22 MAR 2024,423.48
21 MAR 2024,417.25
20 MAR 2024,421.67
19 MAR 2024,420.85
18 MAR 2024,420.63
15 MAR 2024,424.64
14 MAR 2024,423.69
13 MAR 2024,426.1
12 MAR 2024,426.8
11 MAR 2024,424.95
7 MAR 2024,423.58
6 MAR 2024,415.23
5 MAR 2024,413.67
4 MAR 2024,409.35
1 MAR 2024,405.35
29 FEB 2024,405.82
28 FEB 2024,399.49
27 FEB 2024,398.49
26 FEB 2024,398.94
22 FEB 2024,402.18
21 FEB 2024,405.5
20 FEB 2024,401.93
19 FEB 2024,406.32
16 FEB 2024,403.18
15 FEB 2024,404.43
14 FEB 2024,404.57
13 FEB 2024,405.59
12 FEB 2024,405.57
9 FEB 2024,406.17
8 FEB 2024,403.15
7 FEB 2024,404.1
6 FEB 2024,405.33
2 FEB 2024,400.86
1 FEB 2024,401.26
31 JAN 2024,401.53
30 JAN 2024,406.06
29 JAN 2024,399.97
26 JAN 2024,400.32
24 JAN 2024,402.57
23 JAN 2024,395.98
22 JAN 2024,402.92
19 JAN 2024,406.04
