Traded Date,Value
31 DEC 2025,4110.27
30 DEC 2025,4053.58
29 DEC 2025,3998.67
26 DEC 2025,4020.13
24 DEC 2025,3998.99
23 DEC 2025,4010.83
22 DEC 2025,4031.04
19 DEC 2025,4065.22
18 DEC 2025,4085.93
17 DEC 2025,4110.02
16 DEC 2025,4072.56
15 DEC 2025,4076.37
12 DEC 2025,4088.99
11 DEC 2025,4109.92
10 DEC 2025,4072.56
9 DEC 2025,4015.54
8 DEC 2025,3935.84
5 DEC 2025,3961.88
3 DEC 2025,4029.53
2 DEC 2025,4119.82
1 DEC 2025,4081.49
28 NOV 2025,4240.06
27 NOV 2025,4215.39
26 NOV 2025,4243.52
25 NOV 2025,4237.56
24 NOV 2025,4229.04
21 NOV 2025,4293.37
20 NOV 2025,4320.64
19 NOV 2025,4316.63
18 NOV 2025,4316.59
17 NOV 2025,4361.69
14 NOV 2025,4375.64
13 NOV 2025,4356.1
12 NOV 2025,4426.81
11 NOV 2025,4419.38
10 NOV 2025,4457.89
7 NOV 2025,4475.94
6 NOV 2025,4424.62
4 NOV 2025,4423.19
3 NOV 2025,4429.8
31 OCT 2025,4408.03
30 OCT 2025,4380.02
29 OCT 2025,4395.19
28 OCT 2025,4390.71
27 OCT 2025,4435.19
24 OCT 2025,4483.71
23 OCT 2025,4517.53
22 OCT 2025,4501.49
21 OCT 2025,4499.08
17 OCT 2025,4452.01
16 OCT 2025,4375.84
15 OCT 2025,4329.73
14 OCT 2025,4315.5
13 OCT 2025,4300.96
10 OCT 2025,4283.42
9 OCT 2025,4268.52
8 OCT 2025,4220.16
7 OCT 2025,4215.42
3 OCT 2025,4208.58
2 OCT 2025,4199.45
1 OCT 2025,4210.78
30 SEP 2025,4213.26
29 SEP 2025,4213.89
26 SEP 2025,4210.6
25 SEP 2025,4244.85
24 SEP 2025,4153.78
23 SEP 2025,4090.75
22 SEP 2025,4049.66
19 SEP 2025,4049.05
18 SEP 2025,4030.21
17 SEP 2025,3978.43
16 SEP 2025,3954.84
15 SEP 2025,3916.29
12 SEP 2025,3961.51
11 SEP 2025,3953.57
10 SEP 2025,3967.69
9 SEP 2025,3956.66
8 SEP 2025,4011.61
4 SEP 2025,4026.48
3 SEP 2025,4048.35
2 SEP 2025,4071.63
1 SEP 2025,4095.62
29 AUG 2025,4074.07
28 AUG 2025,4042.59
27 AUG 2025,4033.37
26 AUG 2025,4024.32
25 AUG 2025,4001.98
22 AUG 2025,4009.39
21 AUG 2025,4009.18
20 AUG 2025,3999.84
19 AUG 2025,4009.82
18 AUG 2025,4017.07
15 AUG 2025,4015.03
14 AUG 2025,3929.75
13 AUG 2025,3940.46
12 AUG 2025,3939.62
11 AUG 2025,3919.47
7 AUG 2025,3929.82
6 AUG 2025,3906.22
5 AUG 2025,3907.23
4 AUG 2025,3917.46
1 AUG 2025,3954.46
31 JUL 2025,3927.05
30 JUL 2025,3908.3
29 JUL 2025,3919.89
28 JUL 2025,3902
25 JUL 2025,3899.48
24 JUL 2025,3845.47
23 JUL 2025,3791.5
22 JUL 2025,3783.79
21 JUL 2025,3757.77
18 JUL 2025,3726.27
17 JUL 2025,3670.98
16 JUL 2025,3689.01
15 JUL 2025,3739.1
14 JUL 2025,3735.2
11 JUL 2025,3749.75
9 JUL 2025,3684.02
8 JUL 2025,3618.69
7 JUL 2025,3575.36
4 JUL 2025,3582.59
3 JUL 2025,3601.92
2 JUL 2025,3616.63
1 JUL 2025,3623.54
30 JUN 2025,3598.9
27 JUN 2025,3511.49
26 JUN 2025,3501.38
25 JUN 2025,3439.95
24 JUN 2025,3351.26
23 JUN 2025,3236.28
20 JUN 2025,3317.55
19 JUN 2025,3245.36
18 JUN 2025,3308.07
17 JUN 2025,3372.21
16 JUN 2025,3391.58
13 JUN 2025,3397.11
12 JUN 2025,3429.55
11 JUN 2025,3427.76
9 JUN 2025,3361.07
6 JUN 2025,3341.19
5 JUN 2025,3348.57
4 JUN 2025,3331.29
3 JUN 2025,3289.39
2 JUN 2025,3232.38
30 MAY 2025,3203.28
29 MAY 2025,3204.52
28 MAY 2025,3145.92
27 MAY 2025,3157.95
26 MAY 2025,3131.72
23 MAY 2025,3123.49
22 MAY 2025,3138.21
21 MAY 2025,3102.8
20 MAY 2025,3102.76
19 MAY 2025,3107.59
16 MAY 2025,3139.88
15 MAY 2025,3141.29
14 MAY 2025,3096.16
9 MAY 2025,3010.56
8 MAY 2025,3018.02
7 MAY 2025,2989.46
6 MAY 2025,3024.14
5 MAY 2025,3029.26
2 MAY 2025,3005.55
30 APR 2025,2997.74
29 APR 2025,3021
28 APR 2025,3010.86
25 APR 2025,2999.25
24 APR 2025,2956.69
23 APR 2025,2943.84
22 APR 2025,2953.08
21 APR 2025,2968.16
17 APR 2025,2959.26
16 APR 2025,2951.94
11 APR 2025,2884.15
10 APR 2025,2892.27
9 APR 2025,2741.07
8 APR 2025,2809.7
7 APR 2025,2700.48
4 APR 2025,2863.27
3 APR 2025,2911.42
2 APR 2025,2983.63
1 APR 2025,2976.12
28 MAR 2025,2948.86
27 MAR 2025,2938.6
26 MAR 2025,2933
25 MAR 2025,2939.91
24 MAR 2025,2951.37
21 MAR 2025,2957.1
20 MAR 2025,2919.24
19 MAR 2025,2879.04
18 MAR 2025,2878.03
17 MAR 2025,2922.47
14 MAR 2025,2974.82
12 MAR 2025,2972.25
11 MAR 2025,2923.78
10 MAR 2025,2999.19
7 MAR 2025,3036.64
6 MAR 2025,3030.75
5 MAR 2025,3044.2
4 MAR 2025,2998.01
3 MAR 2025,3062.68
28 FEB 2025,3115.52
27 FEB 2025,3114.78
25 FEB 2025,3086.85
24 FEB 2025,3151.26
21 FEB 2025,3229.07
20 FEB 2025,3234.85
19 FEB 2025,3252.87
18 FEB 2025,3296.51
17 FEB 2025,3315.43
14 FEB 2025,3290.98
13 FEB 2025,3208.29
11 FEB 2025,3115.45
10 FEB 2025,3165.93
7 FEB 2025,3212.65
6 FEB 2025,3219.14
5 FEB 2025,3205.89
3 FEB 2025,3337.51
31 JAN 2025,3380.74
30 JAN 2025,3357.83
29 JAN 2025,3392.1
28 JAN 2025,3356.48
27 JAN 2025,3298.67
24 JAN 2025,3297
23 JAN 2025,3317.66
22 JAN 2025,3223.78
21 JAN 2025,3122.98
20 JAN 2025,3097.75
17 JAN 2025,3096.58
16 JAN 2025,3117.06
15 JAN 2025,3107.36
10 JAN 2025,3091.58
9 JAN 2025,3050.21
8 JAN 2025,3076.44
7 JAN 2025,3070.84
6 JAN 2025,3071.15
3 JAN 2025,3161.68
2 JAN 2025,3206.69
31 DEC 2024,3112.48
30 DEC 2024,3093.77
27 DEC 2024,3100.31
26 DEC 2024,3038.03
24 DEC 2024,2907.42
23 DEC 2024,2849.38
20 DEC 2024,2728.62
19 DEC 2024,2695.44
