Traded Date,Value
31 DEC 2025,3074.95
30 DEC 2025,3099.74
29 DEC 2025,3033.59
26 DEC 2025,3057.52
24 DEC 2025,3042.07
23 DEC 2025,2998.98
22 DEC 2025,2968.52
19 DEC 2025,3022.03
18 DEC 2025,3035.77
17 DEC 2025,3090.37
16 DEC 2025,3084.89
15 DEC 2025,3061.77
12 DEC 2025,3111.26
11 DEC 2025,3122.71
10 DEC 2025,3048.2
9 DEC 2025,2989
8 DEC 2025,2933.24
5 DEC 2025,2910.37
3 DEC 2025,2976.34
2 DEC 2025,3010.47
1 DEC 2025,3019.81
28 NOV 2025,3076.58
27 NOV 2025,3078.68
26 NOV 2025,3119.7
25 NOV 2025,3115.78
24 NOV 2025,3099.38
21 NOV 2025,3132.15
20 NOV 2025,3134.12
19 NOV 2025,3165.4
18 NOV 2025,3125.29
17 NOV 2025,3177.8
14 NOV 2025,3202.54
13 NOV 2025,3172.59
12 NOV 2025,3181.29
11 NOV 2025,3225.88
10 NOV 2025,3257.38
7 NOV 2025,3216.48
6 NOV 2025,3165.68
4 NOV 2025,3118.41
3 NOV 2025,3137.02
31 OCT 2025,3150.71
30 OCT 2025,3150.08
29 OCT 2025,3173.77
28 OCT 2025,3060.03
27 OCT 2025,3011.12
24 OCT 2025,3002.14
23 OCT 2025,2998.58
22 OCT 2025,2959.9
21 OCT 2025,2985.05
17 OCT 2025,2943.43
16 OCT 2025,2938.22
15 OCT 2025,2917.75
14 OCT 2025,2834.28
13 OCT 2025,2814.75
10 OCT 2025,2797.71
9 OCT 2025,2786.71
8 OCT 2025,2756.76
7 OCT 2025,2797.04
3 OCT 2025,2822.88
2 OCT 2025,2841.43
1 OCT 2025,2871.92
30 SEP 2025,2872.08
29 SEP 2025,2870.86
26 SEP 2025,2891.54
25 SEP 2025,2904.5
24 SEP 2025,2925.42
23 SEP 2025,2908.97
22 SEP 2025,2925.01
19 SEP 2025,2925.84
18 SEP 2025,2910.09
17 SEP 2025,2897.2
16 SEP 2025,2897.2
15 SEP 2025,2903.64
12 SEP 2025,2964.2
11 SEP 2025,2985.21
10 SEP 2025,3031.34
9 SEP 2025,3029.35
8 SEP 2025,3031.52
4 SEP 2025,2691.85
3 SEP 2025,2668.99
2 SEP 2025,2636.82
1 SEP 2025,2650.13
29 AUG 2025,2658.56
28 AUG 2025,2634.75
27 AUG 2025,2615.18
26 AUG 2025,2602.81
25 AUG 2025,2619.26
22 AUG 2025,2609.98
21 AUG 2025,2629.66
20 AUG 2025,2635.86
19 AUG 2025,2636.82
18 AUG 2025,2634.73
15 AUG 2025,2650.75
14 AUG 2025,2653.26
13 AUG 2025,2622.28
12 AUG 2025,2622.06
11 AUG 2025,2628.24
7 AUG 2025,2638.87
6 AUG 2025,2648.81
5 AUG 2025,2654.31
4 AUG 2025,2661.79
1 AUG 2025,2694.01
31 JUL 2025,2677.93
30 JUL 2025,2723.73
29 JUL 2025,2733.32
28 JUL 2025,2751.35
25 JUL 2025,2690.12
24 JUL 2025,2665.12
23 JUL 2025,2612.21
22 JUL 2025,2616.23
21 JUL 2025,2572.83
18 JUL 2025,2536.9
17 JUL 2025,2545.73
16 JUL 2025,2532.15
15 JUL 2025,2583.12
14 JUL 2025,2592.32
11 JUL 2025,2551.31
9 JUL 2025,2503.37
8 JUL 2025,2528.06
7 JUL 2025,2536.25
4 JUL 2025,2522.42
3 JUL 2025,2528.06
2 JUL 2025,2519.95
1 JUL 2025,2524.64
30 JUN 2025,2500.83
27 JUN 2025,2520.36
26 JUN 2025,2526.37
25 JUN 2025,2549.98
24 JUN 2025,2544.44
23 JUN 2025,2520.74
20 JUN 2025,2583.59
19 JUN 2025,2636.99
18 JUN 2025,2644.67
17 JUN 2025,2644.67
16 JUN 2025,2656.58
13 JUN 2025,2642.18
12 JUN 2025,2652.88
11 JUN 2025,2668.48
9 JUN 2025,2660.66
6 JUN 2025,2672
5 JUN 2025,2664.2
4 JUN 2025,2644.67
3 JUN 2025,2695.76
2 JUN 2025,2545.66
30 MAY 2025,2541.97
29 MAY 2025,2537.83
28 MAY 2025,2543.54
27 MAY 2025,2527.98
26 MAY 2025,2527.56
23 MAY 2025,2537.87
22 MAY 2025,2546.08
21 MAY 2025,2556.73
20 MAY 2025,2561.28
19 MAY 2025,2560.81
16 MAY 2025,2580.2
15 MAY 2025,2605.51
14 MAY 2025,2597.12
9 MAY 2025,2531.83
8 MAY 2025,2533.89
7 MAY 2025,2533.78
6 MAY 2025,2554.49
5 MAY 2025,2512.95
2 MAY 2025,2520.6
30 APR 2025,2505.09
29 APR 2025,2504.29
28 APR 2025,2496.42
25 APR 2025,2505.47
24 APR 2025,2511.62
23 APR 2025,2508.7
22 APR 2025,2521.13
21 APR 2025,2526.43
17 APR 2025,2449.63
16 APR 2025,2469.16
11 APR 2025,2464.66
10 APR 2025,2442.83
9 APR 2025,2432.61
8 APR 2025,2430.34
7 APR 2025,2402.21
4 APR 2025,2486.03
3 APR 2025,2487.21
2 APR 2025,2539.84
1 APR 2025,2509.61
28 MAR 2025,2460.73
27 MAR 2025,2482.3
26 MAR 2025,2465.85
25 MAR 2025,2424.77
24 MAR 2025,2399.15
21 MAR 2025,2425.9
20 MAR 2025,2414.52
19 MAR 2025,2413.74
18 MAR 2025,2392.11
17 MAR 2025,2418.63
14 MAR 2025,2410.01
12 MAR 2025,2414.81
11 MAR 2025,2390.1
10 MAR 2025,2386.37
7 MAR 2025,2417.32
6 MAR 2025,2424.11
5 MAR 2025,2428.61
4 MAR 2025,2435.09
3 MAR 2025,2472.42
28 FEB 2025,2524.39
27 FEB 2025,2505.63
25 FEB 2025,2498.43
24 FEB 2025,2585.36
21 FEB 2025,2611.22
