Traded Date,Value
31 DEC 2025,4745.57
30 DEC 2025,4820.54
29 DEC 2025,4819.84
26 DEC 2025,4857.62
24 DEC 2025,4858.96
23 DEC 2025,4837.17
22 DEC 2025,4801.58
19 DEC 2025,4783.07
18 DEC 2025,4778.42
17 DEC 2025,4854.96
16 DEC 2025,4744.87
15 DEC 2025,4804.33
12 DEC 2025,4802.26
11 DEC 2025,4853.14
10 DEC 2025,4921.31
9 DEC 2025,4857.11
8 DEC 2025,4811.34
5 DEC 2025,4890.47
3 DEC 2025,4818.71
2 DEC 2025,4911.82
1 DEC 2025,4867.28
28 NOV 2025,4897.12
27 NOV 2025,4896.66
26 NOV 2025,4921.69
25 NOV 2025,4927.91
24 NOV 2025,4942.08
21 NOV 2025,4944.31
20 NOV 2025,4978.12
19 NOV 2025,4958.45
18 NOV 2025,4958.98
17 NOV 2025,4998.48
14 NOV 2025,5055.96
13 NOV 2025,5073.28
12 NOV 2025,5071.52
11 NOV 2025,5138.68
10 NOV 2025,5131.05
7 NOV 2025,5069.25
6 NOV 2025,5099.12
4 NOV 2025,5065.67
3 NOV 2025,4967.62
31 OCT 2025,4972.3
30 OCT 2025,4922.13
29 OCT 2025,4983.32
28 OCT 2025,4969.52
27 OCT 2025,5010.14
24 OCT 2025,5087.09
23 OCT 2025,5134.77
22 OCT 2025,5063.23
21 OCT 2025,5061.31
17 OCT 2025,5073.97
16 OCT 2025,4821.3
15 OCT 2025,4759.32
14 OCT 2025,4803.18
13 OCT 2025,4798.78
10 OCT 2025,4789.62
9 OCT 2025,4736.78
8 OCT 2025,4689.95
7 OCT 2025,4935.56
3 OCT 2025,4809.12
2 OCT 2025,4872.71
1 OCT 2025,4945.32
30 SEP 2025,4905.96
29 SEP 2025,4933.39
26 SEP 2025,4882.05
25 SEP 2025,4933.81
24 SEP 2025,4934.38
23 SEP 2025,4976.49
22 SEP 2025,4960.4
19 SEP 2025,4909.66
18 SEP 2025,4880.66
17 SEP 2025,4995.17
16 SEP 2025,4981.41
15 SEP 2025,4909.56
