Traded Date,Value
31 DEC 2025,2352.56
30 DEC 2025,2340.82
29 DEC 2025,2316.65
26 DEC 2025,2320.23
24 DEC 2025,2326.74
23 DEC 2025,2306.43
22 DEC 2025,2324.74
19 DEC 2025,2338.99
18 DEC 2025,2348.27
17 DEC 2025,2338.87
16 DEC 2025,2345.9
15 DEC 2025,2333.23
12 DEC 2025,2358.44
11 DEC 2025,2346.64
10 DEC 2025,2349.91
9 DEC 2025,2311
8 DEC 2025,2267.82
5 DEC 2025,2261.26
3 DEC 2025,2309.2
2 DEC 2025,2357.63
1 DEC 2025,2334.78
28 NOV 2025,2410.37
27 NOV 2025,2384.49
26 NOV 2025,2392.68
25 NOV 2025,2400.15
24 NOV 2025,2367.3
21 NOV 2025,2417.48
20 NOV 2025,2433.96
19 NOV 2025,2422.78
18 NOV 2025,2421.32
17 NOV 2025,2434.31
14 NOV 2025,2472.99
13 NOV 2025,2483.11
12 NOV 2025,2511.64
11 NOV 2025,2509.78
10 NOV 2025,2500.28
7 NOV 2025,2507.5
6 NOV 2025,2502.12
4 NOV 2025,2484.02
3 NOV 2025,2489.11
31 OCT 2025,2474.74
30 OCT 2025,2487.48
29 OCT 2025,2488.24
28 OCT 2025,2505.05
27 OCT 2025,2511.95
24 OCT 2025,2515.31
23 OCT 2025,2531.46
22 OCT 2025,2511.49
21 OCT 2025,2516.99
17 OCT 2025,2510.84
16 OCT 2025,2495.01
15 OCT 2025,2495.73
14 OCT 2025,2500.15
13 OCT 2025,2518.01
10 OCT 2025,2513.46
9 OCT 2025,2507.58
8 OCT 2025,2467.67
7 OCT 2025,2465.18
3 OCT 2025,2432.57
2 OCT 2025,2407.14
1 OCT 2025,2374.05
30 SEP 2025,2397.7
29 SEP 2025,2340.25
26 SEP 2025,2288.21
25 SEP 2025,2257.19
24 SEP 2025,2231.32
23 SEP 2025,2226.46
22 SEP 2025,2223.4
19 SEP 2025,2213.46
18 SEP 2025,2197.99
17 SEP 2025,2197.38
16 SEP 2025,2193.95
15 SEP 2025,2176.96
12 SEP 2025,2189.91
11 SEP 2025,2186.72
10 SEP 2025,2201.2
9 SEP 2025,2197.24
8 SEP 2025,2216.48
4 SEP 2025,2216.36
3 SEP 2025,2218.83
2 SEP 2025,2203.27
1 SEP 2025,2202.86
29 AUG 2025,2219.24
28 AUG 2025,2202.09
27 AUG 2025,2191.19
26 AUG 2025,2162.41
25 AUG 2025,2162.43
22 AUG 2025,2159.86
21 AUG 2025,2189.5
20 AUG 2025,2188.77
19 AUG 2025,2177.97
18 AUG 2025,2132.28
15 AUG 2025,2094.34
14 AUG 2025,2064.35
13 AUG 2025,2066.78
12 AUG 2025,2065.27
11 AUG 2025,2049.39
7 AUG 2025,2036.02
6 AUG 2025,2031.37
5 AUG 2025,2018.19
4 AUG 2025,2008.34
1 AUG 2025,2043.34
31 JUL 2025,2028.48
30 JUL 2025,2013.73
29 JUL 2025,2012.42
28 JUL 2025,2003.58
25 JUL 2025,2009.04
24 JUL 2025,1991.86
23 JUL 2025,1987.04
22 JUL 2025,1961.87
21 JUL 2025,1951.88
18 JUL 2025,1951.21
17 JUL 2025,1951.19
16 JUL 2025,1945.99
15 JUL 2025,1951.52
14 JUL 2025,1963.86
11 JUL 2025,1952.21
9 JUL 2025,1914.53
8 JUL 2025,1914.72
