Traded Date,Value
31 DEC 2025,1682.64
30 DEC 2025,1650.77
29 DEC 2025,1646.26
26 DEC 2025,1665.55
24 DEC 2025,1661.09
23 DEC 2025,1649.42
22 DEC 2025,1652.94
19 DEC 2025,1665.13
18 DEC 2025,1682.02
17 DEC 2025,1672.22
16 DEC 2025,1687.77
15 DEC 2025,1689.93
12 DEC 2025,1679.14
11 DEC 2025,1682.86
10 DEC 2025,1707.12
9 DEC 2025,1690.95
8 DEC 2025,1637.54
5 DEC 2025,1669.72
3 DEC 2025,1668.38
2 DEC 2025,1702.88
1 DEC 2025,1679.16
28 NOV 2025,1685.97
27 NOV 2025,1703.71
26 NOV 2025,1701.77
25 NOV 2025,1709.19
24 NOV 2025,1700.62
21 NOV 2025,1737.82
20 NOV 2025,1742.66
19 NOV 2025,1745.34
18 NOV 2025,1720.89
17 NOV 2025,1756
14 NOV 2025,1742.25
13 NOV 2025,1774.44
12 NOV 2025,1791.15
11 NOV 2025,1792.65
10 NOV 2025,1780.52
7 NOV 2025,1783.41
6 NOV 2025,1781.08
4 NOV 2025,1799.3
3 NOV 2025,1818.69
31 OCT 2025,1840.09
30 OCT 2025,1844.22
29 OCT 2025,1829.25
28 OCT 2025,1768.73
27 OCT 2025,1784
24 OCT 2025,1669.61
23 OCT 2025,1630.22
22 OCT 2025,1630.39
21 OCT 2025,1630.98
17 OCT 2025,1616.74
16 OCT 2025,1637.2
15 OCT 2025,1639.17
14 OCT 2025,1638.24
13 OCT 2025,1619.94
10 OCT 2025,1605.46
9 OCT 2025,1617.85
8 OCT 2025,1622.13
7 OCT 2025,1627.41
3 OCT 2025,1657.93
2 OCT 2025,1669.01
1 OCT 2025,1651.19
30 SEP 2025,1628.73
29 SEP 2025,1613.55
26 SEP 2025,1625.35
25 SEP 2025,1623.93
24 SEP 2025,1615.98
23 SEP 2025,1643.35
22 SEP 2025,1617.34
19 SEP 2025,1616.67
18 SEP 2025,1617.94
17 SEP 2025,1628.81
16 SEP 2025,1599.31
15 SEP 2025,1570.13
12 SEP 2025,1634.87
11 SEP 2025,1644.5
10 SEP 2025,1637.37
9 SEP 2025,1620.31
8 SEP 2025,1632.86
4 SEP 2025,1679.85
3 SEP 2025,1678.76
2 SEP 2025,1679.9
1 SEP 2025,1706.11
29 AUG 2025,1606.1
28 AUG 2025,1587.52
27 AUG 2025,1569.02
26 AUG 2025,1560.92
25 AUG 2025,1575.38
22 AUG 2025,1587.71
21 AUG 2025,1564.17
20 AUG 2025,1568.95
19 AUG 2025,1589.51
18 AUG 2025,1598.47
15 AUG 2025,1532.73
14 AUG 2025,1500.33
13 AUG 2025,1506.5
12 AUG 2025,1481.24
11 AUG 2025,1488.63
7 AUG 2025,1499.99
6 AUG 2025,1481.38
5 AUG 2025,1502.26
4 AUG 2025,1495.27
1 AUG 2025,1501.39
31 JUL 2025,1507.91
30 JUL 2025,1490.14
29 JUL 2025,1489.49
28 JUL 2025,1498.73
25 JUL 2025,1502.08
24 JUL 2025,1495.38
23 JUL 2025,1488.87
22 JUL 2025,1391.87
21 JUL 2025,1408.08
18 JUL 2025,1431.34
17 JUL 2025,1405
16 JUL 2025,1411.6
15 JUL 2025,1436.01
14 JUL 2025,1441.23
11 JUL 2025,1407.31
9 JUL 2025,1414.56
8 JUL 2025,1393.09
7 JUL 2025,1365.93
4 JUL 2025,1379.33
3 JUL 2025,1378.89
2 JUL 2025,1374.74
1 JUL 2025,1369.26
30 JUN 2025,1390.92
27 JUN 2025,1391.78
26 JUN 2025,1417.66
25 JUN 2025,1397.97
24 JUN 2025,1272.07
23 JUN 2025,1261.96
20 JUN 2025,1273.1
19 JUN 2025,1237.48
18 JUN 2025,1237.31
17 JUN 2025,1262.39
16 JUN 2025,1274.56
13 JUN 2025,1239.96
12 JUN 2025,1235.1
11 JUN 2025,1221.28
9 JUN 2025,1226.28
6 JUN 2025,1230.58
5 JUN 2025,1235.98
4 JUN 2025,1206.25
3 JUN 2025,1214.05
2 JUN 2025,1209.19
30 MAY 2025,1200.89
29 MAY 2025,1216.72
28 MAY 2025,1210.26
27 MAY 2025,1194.75
26 MAY 2025,1202.84
23 MAY 2025,1195.56
22 MAY 2025,1182.37
21 MAY 2025,1174.9
20 MAY 2025,1180.18
19 MAY 2025,1164.27
16 MAY 2025,1162.05
15 MAY 2025,1186.43
14 MAY 2025,1167.85
9 MAY 2025,1149.43
8 MAY 2025,1160.36
7 MAY 2025,1172.56
6 MAY 2025,1151.81
5 MAY 2025,1157.61
2 MAY 2025,1165.54
30 APR 2025,1159.11
29 APR 2025,1167.24
28 APR 2025,1149.14
25 APR 2025,1169.26
24 APR 2025,1165.54
23 APR 2025,1159.75
22 APR 2025,1166.78
21 APR 2025,1162.43
17 APR 2025,1164.05
16 APR 2025,1162.92
11 APR 2025,1149.18
10 APR 2025,1146.18
9 APR 2025,1138.05
8 APR 2025,1153.87
7 APR 2025,1125.6
4 APR 2025,1140.13
3 APR 2025,1152.69
2 APR 2025,1157.35
1 APR 2025,1155.71
28 MAR 2025,1156.96
27 MAR 2025,1158.09
26 MAR 2025,1151.09
25 MAR 2025,1153.13
24 MAR 2025,1165.65
21 MAR 2025,1170.31
20 MAR 2025,1162.72
19 MAR 2025,1152.87
18 MAR 2025,1137.96
17 MAR 2025,1150.74
14 MAR 2025,1143.54
12 MAR 2025,1151
11 MAR 2025,1139.59
10 MAR 2025,1155.36
7 MAR 2025,1150.16
6 MAR 2025,1143.01
5 MAR 2025,1150.47
4 MAR 2025,1147.98
3 MAR 2025,1141.43
28 FEB 2025,1147.16
27 FEB 2025,1158.15
25 FEB 2025,1159.18
24 FEB 2025,1165.08
21 FEB 2025,1176.97
20 FEB 2025,1173.48
19 FEB 2025,1194.79
18 FEB 2025,1201.88
17 FEB 2025,1208.7
14 FEB 2025,1200.15
13 FEB 2025,1172.04
11 FEB 2025,1174.11
10 FEB 2025,1184.92
7 FEB 2025,1171.5
6 FEB 2025,1167.22
5 FEB 2025,1165.46
3 FEB 2025,1178.12
31 JAN 2025,1195.19
30 JAN 2025,1187.6
29 JAN 2025,1180.45
28 JAN 2025,1175.49
27 JAN 2025,1183.63
24 JAN 2025,1174.39
23 JAN 2025,1197.15
22 JAN 2025,1188.78
21 JAN 2025,1188.17
20 JAN 2025,1176.89
17 JAN 2025,1185.5
16 JAN 2025,1169.13
15 JAN 2025,1157.78
10 JAN 2025,1155.05
9 JAN 2025,1149.01
8 JAN 2025,1152.63
7 JAN 2025,1160.27
6 JAN 2025,1138.22
3 JAN 2025,1171.19
2 JAN 2025,1170.44
31 DEC 2024,1135.15
30 DEC 2024,1131.99
27 DEC 2024,1138.92
26 DEC 2024,1147.76
24 DEC 2024,1133.07
23 DEC 2024,1120.17
20 DEC 2024,1123.88
19 DEC 2024,1115.27
18 DEC 2024,1104.42
17 DEC 2024,1104.8
16 DEC 2024,1104.31
13 DEC 2024,1108.88
12 DEC 2024,1118.31
11 DEC 2024,1100.13
10 DEC 2024,1104.04
9 DEC 2024,1108.88
6 DEC 2024,1085.06
5 DEC 2024,1106.18
4 DEC 2024,1113.28
3 DEC 2024,1106.14
2 DEC 2024,1087.88
29 NOV 2024,1066.56
28 NOV 2024,1066.9
27 NOV 2024,1077.16
26 NOV 2024,1083.04
25 NOV 2024,1086.28
22 NOV 2024,1093.44
21 NOV 2024,1057.22
20 NOV 2024,1075.85
19 NOV 2024,1060.49
18 NOV 2024,1066.83
14 NOV 2024,1063.71
13 NOV 2024,1057.52
12 NOV 2024,1068.96
11 NOV 2024,1059.19
8 NOV 2024,1053.94
7 NOV 2024,1060.22
6 NOV 2024,1058.35
5 NOV 2024,1067.33
4 NOV 2024,1069.21
1 NOV 2024,1078.64
