Traded Date,Value
31 DEC 2025,1535.7
30 DEC 2025,1464.39
29 DEC 2025,1457
26 DEC 2025,1464.39
24 DEC 2025,1452.77
23 DEC 2025,1529.89
22 DEC 2025,1464.39
19 DEC 2025,1476.01
18 DEC 2025,1470.2
17 DEC 2025,1493.44
16 DEC 2025,1516.69
15 DEC 2025,1505.06
12 DEC 2025,1528.31
11 DEC 2025,1499.25
10 DEC 2025,1505.06
9 DEC 2025,1534.12
8 DEC 2025,1441.15
5 DEC 2025,1429.53
3 DEC 2025,1452.77
2 DEC 2025,1412.1
1 DEC 2025,1446.96
28 NOV 2025,1493.44
27 NOV 2025,1543.83
26 NOV 2025,1536.77
25 NOV 2025,1493.44
24 NOV 2025,1533.75
21 NOV 2025,1571.34
20 NOV 2025,1499.25
19 NOV 2025,1522.5
18 NOV 2025,1510.88
17 NOV 2025,1598.07
14 NOV 2025,1516.69
13 NOV 2025,1615.5
12 NOV 2025,1623.63
11 NOV 2025,1626.92
10 NOV 2025,1592.22
7 NOV 2025,1632.89
6 NOV 2025,1725.93
4 NOV 2025,1739.84
3 NOV 2025,1757.27
31 OCT 2025,1792.13
30 OCT 2025,1731.67
29 OCT 2025,1792.13
28 OCT 2025,1829.25
27 OCT 2025,1673.57
24 OCT 2025,1667.76
23 OCT 2025,1702.66
22 OCT 2025,1702.64
21 OCT 2025,1621.3
17 OCT 2025,1627.9
16 OCT 2025,1493.44
15 OCT 2025,1487.63
14 OCT 2025,1464.39
13 OCT 2025,1470.2
10 OCT 2025,1481.82
9 OCT 2025,1517.86
8 OCT 2025,1487.63
7 OCT 2025,1493.44
3 OCT 2025,1493.44
2 OCT 2025,1493.44
1 OCT 2025,1510.88
30 SEP 2025,1435.34
29 SEP 2025,1452.77
26 SEP 2025,1525.09
25 SEP 2025,1469.06
24 SEP 2025,1534.93
23 SEP 2025,1481.82
22 SEP 2025,1476.48
19 SEP 2025,1493.44
18 SEP 2025,1464.39
17 SEP 2025,1510.88
16 SEP 2025,1516.69
15 SEP 2025,1481.82
12 SEP 2025,1516.69
11 SEP 2025,1531.97
10 SEP 2025,1504.75
9 SEP 2025,1568.85
8 SEP 2025,1546.92
4 SEP 2025,1522.5
3 SEP 2025,1493.44
2 SEP 2025,1522.5
1 SEP 2025,1551.55
29 AUG 2025,1499.25
28 AUG 2025,1490.46
27 AUG 2025,1417.91
26 AUG 2025,1394.67
25 AUG 2025,1406.29
22 AUG 2025,1406.29
21 AUG 2025,1406.29
20 AUG 2025,1406.29
19 AUG 2025,1417.91
18 AUG 2025,1394.67
15 AUG 2025,1417.91
14 AUG 2025,1417.91
13 AUG 2025,1487.64
12 AUG 2025,1435.34
11 AUG 2025,1429.53
7 AUG 2025,1470.2
6 AUG 2025,1481.82
5 AUG 2025,1464.39
4 AUG 2025,1493.44
1 AUG 2025,1516.69
31 JUL 2025,1460.6
30 JUL 2025,1470.2
29 JUL 2025,1412.1
28 JUL 2025,1412.1
25 JUL 2025,1417.91
24 JUL 2025,1406.29
23 JUL 2025,1406.29
22 JUL 2025,1377.24
21 JUL 2025,1417.91
18 JUL 2025,1394.67
17 JUL 2025,1330.75
16 JUL 2025,1359.8
15 JUL 2025,1385.77
14 JUL 2025,1397.37
11 JUL 2025,1388.86
9 JUL 2025,1383.05
8 JUL 2025,1348.18
7 JUL 2025,1388.86
4 JUL 2025,1394.67
3 JUL 2025,1417.91
2 JUL 2025,1359.8
1 JUL 2025,1353.99
30 JUN 2025,1353.99
27 JUN 2025,1348.18
26 JUN 2025,1348.18
25 JUN 2025,1366.31
24 JUN 2025,1348.18
23 JUN 2025,1342.37
20 JUN 2025,1342.37
19 JUN 2025,1319.13
18 JUN 2025,1330.75
17 JUN 2025,1348.18
16 JUN 2025,1348.18
13 JUN 2025,1348.18
12 JUN 2025,1406.29
11 JUN 2025,1348.18
9 JUN 2025,1348.18
6 JUN 2025,1377.24
5 JUN 2025,1348.18
4 JUN 2025,1383.82
3 JUN 2025,1359.8
2 JUN 2025,1388.86
30 MAY 2025,1429.53
29 MAY 2025,1429.53
28 MAY 2025,1446.96
27 MAY 2025,1383.05
26 MAY 2025,1400.48
23 MAY 2025,1435.34
22 MAY 2025,1394.67
21 MAY 2025,1377.24
20 MAY 2025,1406.29
19 MAY 2025,1406.29
16 MAY 2025,1377.24
15 MAY 2025,1348.18
14 MAY 2025,1348.18
9 MAY 2025,1348.18
8 MAY 2025,1377.24
7 MAY 2025,1371.42
6 MAY 2025,1377.24
5 MAY 2025,1348.18
2 MAY 2025,1348.18
30 APR 2025,1342.37
29 APR 2025,1383.05
28 APR 2025,1359.8
25 APR 2025,1388.86
24 APR 2025,1383.05
23 APR 2025,1383.05
22 APR 2025,1388.86
21 APR 2025,1400.48
17 APR 2025,1388.86
16 APR 2025,1377.24
11 APR 2025,1394.67
10 APR 2025,1383.05
9 APR 2025,1308.28
8 APR 2025,1343.14
7 APR 2025,1338.13
4 APR 2025,1412.1
3 APR 2025,1353.99
2 APR 2025,1429.53
1 APR 2025,1423.72
28 MAR 2025,1423.72
27 MAR 2025,1406.29
26 MAR 2025,1388.15
25 MAR 2025,1406.29
24 MAR 2025,1406.29
21 MAR 2025,1417.91
20 MAR 2025,1423.72
19 MAR 2025,1423.72
18 MAR 2025,1406.29
17 MAR 2025,1429.53
14 MAR 2025,1421.7
12 MAR 2025,1429.53
11 MAR 2025,1406.29
10 MAR 2025,1412.1
7 MAR 2025,1435.34
6 MAR 2025,1435.34
5 MAR 2025,1423.72
4 MAR 2025,1406.29
3 MAR 2025,1435.34
28 FEB 2025,1406.29
27 FEB 2025,1412.1
25 FEB 2025,1412.1
24 FEB 2025,1441.15
21 FEB 2025,1458.58
20 FEB 2025,1452.77
19 FEB 2025,1464.39
18 FEB 2025,1417.91
17 FEB 2025,1464.39
14 FEB 2025,1406.29
13 FEB 2025,1423.72
11 FEB 2025,1429.53
10 FEB 2025,1441.15
7 FEB 2025,1481.82
6 FEB 2025,1505.06
5 FEB 2025,1481.82
3 FEB 2025,1505.06
31 JAN 2025,1516.69
30 JAN 2025,1522.5
29 JAN 2025,1484.44
28 JAN 2025,1496.59
27 JAN 2025,1522.5
24 JAN 2025,1522.5
23 JAN 2025,1545.74
22 JAN 2025,1590.68
21 JAN 2025,1580.6
20 JAN 2025,1580.67
17 JAN 2025,1580.67
16 JAN 2025,1569.05
15 JAN 2025,1621.34
10 JAN 2025,1580.67
9 JAN 2025,1609.72
8 JAN 2025,1627.15
7 JAN 2025,1609.65
6 JAN 2025,1638.78
3 JAN 2025,1632.97
2 JAN 2025,1632.97
31 DEC 2024,1569.05
30 DEC 2024,1580.67
27 DEC 2024,1609.72
26 DEC 2024,1621.27
24 DEC 2024,1638.71
23 DEC 2024,1661.95
20 DEC 2024,1679.45
19 DEC 2024,1638.78
18 DEC 2024,1687.54
17 DEC 2024,1563.24
16 DEC 2024,1592.29
13 DEC 2024,1656.91
12 DEC 2024,1609.72
11 DEC 2024,1551.62
10 DEC 2024,1493.44
9 DEC 2024,1562.4
6 DEC 2024,1580.67
5 DEC 2024,1493.51
4 DEC 2024,1452.84
3 DEC 2024,1435.41
2 DEC 2024,1447.03
29 NOV 2024,1406.36
28 NOV 2024,1406.36
27 NOV 2024,1406.36
26 NOV 2024,1406.36
25 NOV 2024,1412.17
22 NOV 2024,1417.91
21 NOV 2024,1406.36
20 NOV 2024,1412.17
19 NOV 2024,1412.17
18 NOV 2024,1412.17
14 NOV 2024,1406.36
13 NOV 2024,1394.74
12 NOV 2024,1406.36
11 NOV 2024,1383.12
8 NOV 2024,1372.2
7 NOV 2024,1348.25
6 NOV 2024,1383.12
5 NOV 2024,1362.89
4 NOV 2024,1388.93
1 NOV 2024,1348.25
30 OCT 2024,1383.12
29 OCT 2024,1406.36
28 OCT 2024,1371.5
25 OCT 2024,1388.93
24 OCT 2024,1377.31
23 OCT 2024,1417.98
22 OCT 2024,1417.98
21 OCT 2024,1429.6
18 OCT 2024,1447.03
16 OCT 2024,1435.41
15 OCT 2024,1429.6
14 OCT 2024,1394.74
11 OCT 2024,1406.36
10 OCT 2024,1365.68
9 OCT 2024,1346.17
8 OCT 2024,1365.68
7 OCT 2024,1354.06
4 OCT 2024,1365.68
3 OCT 2024,1348.25
2 OCT 2024,1348.25
1 OCT 2024,1348.25
30 SEP 2024,1348.25
27 SEP 2024,1336.63
26 SEP 2024,1348.25
25 SEP 2024,1429.6
24 SEP 2024,1429.6
23 SEP 2024,1348.25
20 SEP 2024,1336.63
19 SEP 2024,1336.63
18 SEP 2024,1272.72
13 SEP 2024,1278.53
12 SEP 2024,1278.53
11 SEP 2024,1278.53
10 SEP 2024,1278.53
9 SEP 2024,1313.32
6 SEP 2024,1313.39
5 SEP 2024,1313.39
4 SEP 2024,1307.58
3 SEP 2024,1313.39
2 SEP 2024,1300.29
30 AUG 2024,1342.44
29 AUG 2024,1330.82
28 AUG 2024,1342.44
27 AUG 2024,1348.18
26 AUG 2024,1348.25
23 AUG 2024,1377.31
22 AUG 2024,1377.31
21 AUG 2024,1417.98
20 AUG 2024,1412.17
16 AUG 2024,1406.36
15 AUG 2024,1406.36
14 AUG 2024,1423.79
13 AUG 2024,1406.36
12 AUG 2024,1378.07
9 AUG 2024,1406.36
8 AUG 2024,1404.27
7 AUG 2024,1371.5
6 AUG 2024,1371.5
5 AUG 2024,1371.5
2 AUG 2024,1371.5
1 AUG 2024,1377.31
31 JUL 2024,1354.06
30 JUL 2024,1354.06
29 JUL 2024,1348.25
26 JUL 2024,1354.06
25 JUL 2024,1348.25
24 JUL 2024,1348.25
23 JUL 2024,1348.25
22 JUL 2024,1354.06
19 JUL 2024,1371.5
18 JUL 2024,1377.31
17 JUL 2024,1377.31
16 JUL 2024,1406.36
15 JUL 2024,1383.12
12 JUL 2024,1406.36
11 JUL 2024,1417.98
10 JUL 2024,1406.36
9 JUL 2024,1359.87
8 JUL 2024,1412.17
5 JUL 2024,1406.29
4 JUL 2024,1396.23
3 JUL 2024,1396.21
2 JUL 2024,1406.36
1 JUL 2024,1406.36
28 JUN 2024,1406.36
27 JUN 2024,1406.36
26 JUN 2024,1406.36
25 JUN 2024,1406.36
24 JUN 2024,1412.17
20 JUN 2024,1412.1
19 JUN 2024,1412.17
18 JUN 2024,1412.17
14 JUN 2024,1464.46
13 JUN 2024,1464.46
12 JUN 2024,1435.41
11 JUN 2024,1464.46
10 JUN 2024,1406.36
7 JUN 2024,1406.36
6 JUN 2024,1417.98
5 JUN 2024,1406.36
4 JUN 2024,1406.36
3 JUN 2024,1406.36
31 MAY 2024,1435.41
30 MAY 2024,1435.41
29 MAY 2024,1429.6
28 MAY 2024,1435.34
27 MAY 2024,1406.36
22 MAY 2024,1447.03
21 MAY 2024,1429.6
20 MAY 2024,1435.41
17 MAY 2024,1441.22
16 MAY 2024,1441.22
15 MAY 2024,1441.22
14 MAY 2024,1476.08
13 MAY 2024,1470.27
10 MAY 2024,1464.46
9 MAY 2024,1464.46
8 MAY 2024,1452.84
7 MAY 2024,1441.15
6 MAY 2024,1435.34
3 MAY 2024,1458.58
2 MAY 2024,1464.39
30 APR 2024,1447.03
29 APR 2024,1435.41
26 APR 2024,1446.96
25 APR 2024,1458.58
24 APR 2024,1452.84
22 APR 2024,1435.41
19 APR 2024,1423.79
18 APR 2024,1417.98
17 APR 2024,1464.46
16 APR 2024,1447.03
15 APR 2024,1464.46
10 APR 2024,1464.46
9 APR 2024,1452.77
8 APR 2024,1464.46
5 APR 2024,1452.84
4 APR 2024,1452.84
3 APR 2024,1452.84
2 APR 2024,1446.96
1 APR 2024,1452.84
28 MAR 2024,1464.46
27 MAR 2024,1464.46
26 MAR 2024,1464.46
25 MAR 2024,1458.65
22 MAR 2024,1447.03
21 MAR 2024,1522.57
20 MAR 2024,1464.46
19 MAR 2024,1464.46
18 MAR 2024,1534.19
15 MAR 2024,1551.62
14 MAR 2024,1464.46
13 MAR 2024,1487.7
12 MAR 2024,1487.7
11 MAR 2024,1487.63
7 MAR 2024,1534.12
6 MAR 2024,1470.27
5 MAR 2024,1499.32
4 MAR 2024,1522.57
1 MAR 2024,1551.62
29 FEB 2024,1470.27
28 FEB 2024,1464.39
27 FEB 2024,1435.34
26 FEB 2024,1423.79
22 FEB 2024,1464.46
21 FEB 2024,1435.41
20 FEB 2024,1464.46
19 FEB 2024,1464.46
16 FEB 2024,1464.46
15 FEB 2024,1447.03
14 FEB 2024,1417.98
13 FEB 2024,1464.46
12 FEB 2024,1464.46
9 FEB 2024,1417.98
8 FEB 2024,1435.41
7 FEB 2024,1435.41
6 FEB 2024,1447.03
2 FEB 2024,1435.41
1 FEB 2024,1435.34
31 JAN 2024,1435.41
30 JAN 2024,1435.41
29 JAN 2024,1441.22
26 JAN 2024,1441.22
24 JAN 2024,1435.41
23 JAN 2024,1435.41
22 JAN 2024,1435.41
19 JAN 2024,1441.22
18 JAN 2024,1441.22
17 JAN 2024,1441.22
16 JAN 2024,1435.41
12 JAN 2024,1464.39
11 JAN 2024,1458.65
10 JAN 2024,1435.41
9 JAN 2024,1435.41
8 JAN 2024,1435.41
5 JAN 2024,1464.46
4 JAN 2024,1441.22
3 JAN 2024,1476.08
2 JAN 2024,1505.14
29 DEC 2023,1441.22
28 DEC 2023,1441.22
27 DEC 2023,1464.46
22 DEC 2023,1493.51
21 DEC 2023,1493.51
20 DEC 2023,1545.81
19 DEC 2023,1545.81
18 DEC 2023,1545.81
15 DEC 2023,1464.46
14 DEC 2023,1569.05
13 DEC 2023,1579.06
12 DEC 2023,1580.67
11 DEC 2023,1598.1
8 DEC 2023,1598.1
7 DEC 2023,1609.72
6 DEC 2023,1495.85
5 DEC 2023,1406.36
4 DEC 2023,1476.08
1 DEC 2023,1464.46
30 NOV 2023,1464.46
29 NOV 2023,1435.41
28 NOV 2023,1435.34
27 NOV 2023,1395.04
24 NOV 2023,1435.41
23 NOV 2023,1435.41
22 NOV 2023,1470.27
21 NOV 2023,1493.51
20 NOV 2023,1464.46
17 NOV 2023,1464.46
16 NOV 2023,1424.09
15 NOV 2023,1464.46
14 NOV 2023,1464.46
13 NOV 2023,1464.46
10 NOV 2023,1464.46
9 NOV 2023,1441.22
8 NOV 2023,1441.22
7 NOV 2023,1493.51
6 NOV 2023,1435.41
3 NOV 2023,1452.84
2 NOV 2023,1464.46
1 NOV 2023,1464.46
31 OCT 2023,1464.46
30 OCT 2023,1464.46
