Traded Date,Value
31 DEC 2025,2558.19
30 DEC 2025,2503.62
29 DEC 2025,2440.34
26 DEC 2025,2494.77
24 DEC 2025,2452.54
23 DEC 2025,2520.25
22 DEC 2025,2519.38
19 DEC 2025,2525.34
18 DEC 2025,2530.91
17 DEC 2025,2518.04
16 DEC 2025,2525.3
15 DEC 2025,2481.25
12 DEC 2025,2494.42
11 DEC 2025,2509.61
10 DEC 2025,2533.69
9 DEC 2025,2451.35
8 DEC 2025,2439.23
5 DEC 2025,2385.12
3 DEC 2025,2415.98
2 DEC 2025,2455.22
1 DEC 2025,2474.86
28 NOV 2025,2623.25
27 NOV 2025,2654.33
26 NOV 2025,2661.98
25 NOV 2025,2685.55
24 NOV 2025,2611.31
21 NOV 2025,2628.3
20 NOV 2025,2686.74
19 NOV 2025,2667.86
18 NOV 2025,2652.16
17 NOV 2025,2644.3
14 NOV 2025,2736.59
13 NOV 2025,2735.56
12 NOV 2025,2769.19
11 NOV 2025,2778.66
10 NOV 2025,2758.14
7 NOV 2025,2782.88
6 NOV 2025,2795.89
4 NOV 2025,2773.96
3 NOV 2025,2766.83
31 OCT 2025,2762.85
30 OCT 2025,2818.38
29 OCT 2025,2765.55
28 OCT 2025,2770.46
27 OCT 2025,2753.28
24 OCT 2025,2751.32
23 OCT 2025,2756.02
22 OCT 2025,2742.99
21 OCT 2025,2738.52
17 OCT 2025,2652.88
16 OCT 2025,2615.18
15 OCT 2025,2652.63
14 OCT 2025,2616.12
13 OCT 2025,2625.89
10 OCT 2025,2634.97
9 OCT 2025,2620.84
8 OCT 2025,2550.84
7 OCT 2025,2544.76
3 OCT 2025,2544.24
2 OCT 2025,2526.13
1 OCT 2025,2576.16
30 SEP 2025,2558.18
29 SEP 2025,2578.22
26 SEP 2025,2577.98
25 SEP 2025,2538.86
24 SEP 2025,2540.95
23 SEP 2025,2564.48
22 SEP 2025,2520.15
19 SEP 2025,2542.16
18 SEP 2025,2524.41
17 SEP 2025,2495.62
16 SEP 2025,2431.24
15 SEP 2025,2445.42
12 SEP 2025,2481.59
11 SEP 2025,2501.98
10 SEP 2025,2509.64
9 SEP 2025,2513.36
8 SEP 2025,2471.6
4 SEP 2025,2548.7
3 SEP 2025,2541.79
2 SEP 2025,2520.51
1 SEP 2025,2584.15
29 AUG 2025,2524.84
28 AUG 2025,2452.28
27 AUG 2025,2438.06
26 AUG 2025,2457.4
25 AUG 2025,2468.68
22 AUG 2025,2463.71
21 AUG 2025,2464.84
20 AUG 2025,2463.28
19 AUG 2025,2420.74
18 AUG 2025,2467.16
15 AUG 2025,2488.02
14 AUG 2025,2500.71
13 AUG 2025,2436.86
12 AUG 2025,2436.39
11 AUG 2025,2420.96
7 AUG 2025,2405.09
6 AUG 2025,2421.11
5 AUG 2025,2406.52
4 AUG 2025,2391.76
1 AUG 2025,2427.32
31 JUL 2025,2426.47
30 JUL 2025,2384.38
29 JUL 2025,2414.57
28 JUL 2025,2401.02
25 JUL 2025,2408.9
24 JUL 2025,2424.59
23 JUL 2025,2371.71
22 JUL 2025,2350.46
21 JUL 2025,2333.14
18 JUL 2025,2270.63
17 JUL 2025,2248.12
16 JUL 2025,2308.8
15 JUL 2025,2229.67
14 JUL 2025,2226.17
11 JUL 2025,2208.71
9 JUL 2025,2166.69
8 JUL 2025,2129.16
7 JUL 2025,2158.64
4 JUL 2025,2145.58
3 JUL 2025,2147.74
2 JUL 2025,2131.08
1 JUL 2025,2167.02
30 JUN 2025,2179.61
27 JUN 2025,2179.8
26 JUN 2025,2226.03
25 JUN 2025,2164.42
24 JUN 2025,2114.98
23 JUN 2025,2026.86
20 JUN 2025,2091.63
19 JUN 2025,2079.95
18 JUN 2025,2074.34
17 JUN 2025,2084
16 JUN 2025,2122.88
13 JUN 2025,2138.81
12 JUN 2025,2118.37
11 JUN 2025,2114.88
9 JUN 2025,2125.15
6 JUN 2025,2090.36
5 JUN 2025,2099.66
4 JUN 2025,2090.33
3 JUN 2025,2099.41
2 JUN 2025,2080.67
30 MAY 2025,2081.67
29 MAY 2025,2088.38
28 MAY 2025,2114.12
27 MAY 2025,2111.54
26 MAY 2025,2098.21
23 MAY 2025,2102.36
22 MAY 2025,2085.28
21 MAY 2025,2050.34
20 MAY 2025,2074.58
19 MAY 2025,2084.73
16 MAY 2025,2089.76
15 MAY 2025,2064.45
14 MAY 2025,2098.44
9 MAY 2025,2064.83
8 MAY 2025,2097.94
