Traded Date,Value
31 DEC 2025,3200.45
30 DEC 2025,3189.48
29 DEC 2025,3138.51
26 DEC 2025,3130.66
24 DEC 2025,3136.03
23 DEC 2025,3124.57
22 DEC 2025,3105.83
19 DEC 2025,3130.93
18 DEC 2025,3132.17
17 DEC 2025,3112.39
16 DEC 2025,3105.35
15 DEC 2025,3109.53
12 DEC 2025,3128.34
11 DEC 2025,3112.93
10 DEC 2025,3120.66
9 DEC 2025,3073.66
8 DEC 2025,3004.57
5 DEC 2025,2981.34
3 DEC 2025,3024.81
2 DEC 2025,3050.94
1 DEC 2025,3012.87
28 NOV 2025,3066.2
27 NOV 2025,3049.68
26 NOV 2025,3077.04
25 NOV 2025,3070.66
24 NOV 2025,3048.59
21 NOV 2025,3092.39
20 NOV 2025,3101.48
19 NOV 2025,3064.26
18 NOV 2025,3083.65
17 NOV 2025,3091.12
14 NOV 2025,3113.42
13 NOV 2025,3100.37
12 NOV 2025,3121.87
11 NOV 2025,3110.98
10 NOV 2025,3128.75
7 NOV 2025,3099.72
6 NOV 2025,3069.24
4 NOV 2025,3074.74
3 NOV 2025,3089.02
31 OCT 2025,3089.55
30 OCT 2025,3101.76
29 OCT 2025,3114.19
28 OCT 2025,3098.46
27 OCT 2025,3119.39
24 OCT 2025,3140.32
23 OCT 2025,3142.9
22 OCT 2025,3130.39
21 OCT 2025,3123.78
17 OCT 2025,3123.61
16 OCT 2025,3114.9
15 OCT 2025,3108.35
14 OCT 2025,3131.44
13 OCT 2025,3140.83
10 OCT 2025,3153.9
9 OCT 2025,3148.92
8 OCT 2025,3153.22
7 OCT 2025,3169.85
3 OCT 2025,3155.08
2 OCT 2025,3092.11
1 OCT 2025,3062.27
30 SEP 2025,3039.13
29 SEP 2025,3031.2
26 SEP 2025,2999.89
25 SEP 2025,2938.58
24 SEP 2025,2897.88
23 SEP 2025,2901.71
22 SEP 2025,2893.58
19 SEP 2025,2875.85
18 SEP 2025,2806.18
17 SEP 2025,2805.49
16 SEP 2025,2758.3
15 SEP 2025,2735.53
12 SEP 2025,2779.74
11 SEP 2025,2784.36
10 SEP 2025,2802.66
9 SEP 2025,2787.29
8 SEP 2025,2833.06
4 SEP 2025,2849.88
3 SEP 2025,2850.82
2 SEP 2025,2865.32
1 SEP 2025,2862.53
29 AUG 2025,2871.93
28 AUG 2025,2840.82
27 AUG 2025,2809.76
26 AUG 2025,2782.9
25 AUG 2025,2752.17
22 AUG 2025,2756.87
21 AUG 2025,2756.9
20 AUG 2025,2750.92
19 AUG 2025,2743.52
18 AUG 2025,2763.73
15 AUG 2025,2727.43
14 AUG 2025,2691.9
13 AUG 2025,2695.54
12 AUG 2025,2707.54
11 AUG 2025,2711.4
7 AUG 2025,2731.97
6 AUG 2025,2741.08
5 AUG 2025,2700.67
4 AUG 2025,2705.99
1 AUG 2025,2734.78
31 JUL 2025,2717.74
30 JUL 2025,2705.48
29 JUL 2025,2680.86
28 JUL 2025,2682.42
25 JUL 2025,2671.74
24 JUL 2025,2680.01
23 JUL 2025,2682.07
22 JUL 2025,2685.63
21 JUL 2025,2692.76
18 JUL 2025,2688.53
17 JUL 2025,2676.91
16 JUL 2025,2690.8
15 JUL 2025,2714.13
14 JUL 2025,2730.46
11 JUL 2025,2700.76
9 JUL 2025,2650.61
8 JUL 2025,2607.79
7 JUL 2025,2602.28
4 JUL 2025,2628.56
3 JUL 2025,2602.97
2 JUL 2025,2577.81
1 JUL 2025,2542.14
30 JUN 2025,2558.27
27 JUN 2025,2526.56
26 JUN 2025,2500.72
25 JUN 2025,2475.05
24 JUN 2025,2412.58
23 JUN 2025,2334.08
20 JUN 2025,2384.93
19 JUN 2025,2350.05
18 JUN 2025,2381.95
17 JUN 2025,2417.35
16 JUN 2025,2438.52
13 JUN 2025,2451.04
12 JUN 2025,2478.96
11 JUN 2025,2500.75
9 JUN 2025,2506.29
6 JUN 2025,2489.15
5 JUN 2025,2495.9
4 JUN 2025,2465.41
3 JUN 2025,2435.58
2 JUN 2025,2413.32
30 MAY 2025,2390.09
29 MAY 2025,2381.16
28 MAY 2025,2371.45
27 MAY 2025,2353.35
26 MAY 2025,2334.32
23 MAY 2025,2342.95
22 MAY 2025,2352.65
21 MAY 2025,2365.05
20 MAY 2025,2361.88
19 MAY 2025,2368.61
16 MAY 2025,2382.52
15 MAY 2025,2370.7
14 MAY 2025,2353.44
9 MAY 2025,2331.91
8 MAY 2025,2330.83
7 MAY 2025,2323.82
6 MAY 2025,2339.25
5 MAY 2025,2332.77
2 MAY 2025,2307.17
30 APR 2025,2280.44
29 APR 2025,2296.16
28 APR 2025,2277.91
25 APR 2025,2248.95
24 APR 2025,2224.46
23 APR 2025,2203.96
22 APR 2025,2199.5
21 APR 2025,2207.85
17 APR 2025,2216.73
16 APR 2025,2211.79
11 APR 2025,2201.79
10 APR 2025,2203.43
9 APR 2025,2105.06
8 APR 2025,2152.61
7 APR 2025,2073.26
4 APR 2025,2201.27
3 APR 2025,2256.17
2 APR 2025,2325.37
1 APR 2025,2288.65
28 MAR 2025,2241.36
27 MAR 2025,2229.85
26 MAR 2025,2237.88
25 MAR 2025,2250.59
24 MAR 2025,2240.87
21 MAR 2025,2243.16
20 MAR 2025,2201.88
19 MAR 2025,2165.98
18 MAR 2025,2181.27
17 MAR 2025,2214.75
14 MAR 2025,2238.66
12 MAR 2025,2252.19
11 MAR 2025,2195.25
10 MAR 2025,2250.54
7 MAR 2025,2279.15
6 MAR 2025,2308.98
