Traded Date,Value
31 DEC 2025,2856.29
30 DEC 2025,2846.15
29 DEC 2025,2784.99
26 DEC 2025,2803.25
24 DEC 2025,2815.95
23 DEC 2025,2797.15
22 DEC 2025,2779.4
19 DEC 2025,2832.92
18 DEC 2025,2829.51
17 DEC 2025,2804.71
16 DEC 2025,2812
15 DEC 2025,2783.03
12 DEC 2025,2778.59
11 DEC 2025,2774.48
10 DEC 2025,2775.18
9 DEC 2025,2719.99
8 DEC 2025,2666.73
5 DEC 2025,2659.81
3 DEC 2025,2751.42
2 DEC 2025,2772.35
1 DEC 2025,2745.93
28 NOV 2025,2881.91
27 NOV 2025,2853.79
26 NOV 2025,2914.52
25 NOV 2025,2921.52
24 NOV 2025,2896.77
21 NOV 2025,2948.44
20 NOV 2025,2961.13
19 NOV 2025,2867.96
18 NOV 2025,2863.91
17 NOV 2025,2912.52
14 NOV 2025,2909.8
13 NOV 2025,2875.4
12 NOV 2025,2912.92
11 NOV 2025,2910.14
10 NOV 2025,2905.29
7 NOV 2025,2891.79
6 NOV 2025,2873.31
4 NOV 2025,2919.73
3 NOV 2025,2956.95
31 OCT 2025,2974.88
30 OCT 2025,2951.77
29 OCT 2025,2914.56
28 OCT 2025,2845.85
27 OCT 2025,2799.45
24 OCT 2025,2788.2
23 OCT 2025,2780.79
22 OCT 2025,2702.98
21 OCT 2025,2709.05
17 OCT 2025,2701.11
16 OCT 2025,2699.9
15 OCT 2025,2728.92
14 OCT 2025,2751.82
13 OCT 2025,2755.6
10 OCT 2025,2786.71
9 OCT 2025,2762.22
8 OCT 2025,2798.02
7 OCT 2025,2816.48
3 OCT 2025,2800.51
2 OCT 2025,2749.02
1 OCT 2025,2693.85
30 SEP 2025,2716.75
29 SEP 2025,2729.97
26 SEP 2025,2690.54
25 SEP 2025,2667.17
24 SEP 2025,2668.09
23 SEP 2025,2659.91
22 SEP 2025,2701.68
19 SEP 2025,2723.64
18 SEP 2025,2754.96
17 SEP 2025,2711.21
16 SEP 2025,2697.38
15 SEP 2025,2646.39
12 SEP 2025,2646.21
11 SEP 2025,2646.76
10 SEP 2025,2635.88
9 SEP 2025,2595.1
8 SEP 2025,2651.2
4 SEP 2025,2658.36
3 SEP 2025,2579.62
2 SEP 2025,2588.11
1 SEP 2025,2613.29
29 AUG 2025,2517.9
28 AUG 2025,2371.7
27 AUG 2025,2296.76
26 AUG 2025,2239.68
25 AUG 2025,2252.17
22 AUG 2025,2250.74
21 AUG 2025,2242.24
20 AUG 2025,2256.58
19 AUG 2025,2225.32
18 AUG 2025,2262.09
15 AUG 2025,2285.51
14 AUG 2025,2251.53
13 AUG 2025,2190.54
12 AUG 2025,2155.13
11 AUG 2025,2100.54
7 AUG 2025,2129.32
6 AUG 2025,2111.54
5 AUG 2025,2083.31
4 AUG 2025,2095.21
1 AUG 2025,2129.69
31 JUL 2025,2103.39
30 JUL 2025,2095.6
29 JUL 2025,2109.36
28 JUL 2025,2134.35
25 JUL 2025,2156.33
24 JUL 2025,2117.9
23 JUL 2025,2044.49
22 JUL 2025,2053.3
21 JUL 2025,2068.12
18 JUL 2025,1931.52
17 JUL 2025,1910.35
16 JUL 2025,1912.26
15 JUL 2025,1949.66
14 JUL 2025,1857.4
11 JUL 2025,1753.56
9 JUL 2025,1729.04
8 JUL 2025,1669.5
7 JUL 2025,1686.16
4 JUL 2025,1688.48
3 JUL 2025,1686.58
2 JUL 2025,1665.71
1 JUL 2025,1659.73
30 JUN 2025,1675.8
27 JUN 2025,1707.14
26 JUN 2025,1709.11
25 JUN 2025,1679.6
24 JUN 2025,1622.69
23 JUN 2025,1552.45
20 JUN 2025,1604.09
19 JUN 2025,1550.41
18 JUN 2025,1570.06
17 JUN 2025,1612.41
16 JUN 2025,1613.96
13 JUN 2025,1574.65
12 JUN 2025,1621.07
11 JUN 2025,1578.85
9 JUN 2025,1555.55
6 JUN 2025,1559.54
5 JUN 2025,1558.16
4 JUN 2025,1542.62
3 JUN 2025,1519.06
2 JUN 2025,1462.14
30 MAY 2025,1471.01
29 MAY 2025,1469.47
28 MAY 2025,1447.77
27 MAY 2025,1424.56
26 MAY 2025,1418.47
23 MAY 2025,1404.59
22 MAY 2025,1372.98
21 MAY 2025,1349.5
20 MAY 2025,1349.76
19 MAY 2025,1354.34
