Traded Date,Value
31 DEC 2025,3525.88
30 DEC 2025,3495.1
29 DEC 2025,3453.42
26 DEC 2025,3463.78
24 DEC 2025,3478.75
23 DEC 2025,3476.8
22 DEC 2025,3455.66
19 DEC 2025,3493.61
18 DEC 2025,3478.76
17 DEC 2025,3442.84
16 DEC 2025,3470.24
15 DEC 2025,3468.21
12 DEC 2025,3481.64
11 DEC 2025,3474.68
10 DEC 2025,3471
9 DEC 2025,3360.68
8 DEC 2025,3359.12
5 DEC 2025,3333.13
3 DEC 2025,3397.5
2 DEC 2025,3497.52
1 DEC 2025,3495.77
28 NOV 2025,3644.71
27 NOV 2025,3558.82
26 NOV 2025,3603.55
25 NOV 2025,3568.38
24 NOV 2025,3590.27
21 NOV 2025,3595.04
20 NOV 2025,3657.71
19 NOV 2025,3627.03
18 NOV 2025,3624.74
17 NOV 2025,3659.76
14 NOV 2025,3731.23
13 NOV 2025,3627.5
12 NOV 2025,3671.07
11 NOV 2025,3677.77
10 NOV 2025,3674.66
7 NOV 2025,3690.42
6 NOV 2025,3642.48
4 NOV 2025,3707.56
3 NOV 2025,3724.09
31 OCT 2025,3749.93
30 OCT 2025,3744
29 OCT 2025,3634.92
28 OCT 2025,3639.64
27 OCT 2025,3616.41
24 OCT 2025,3637.53
23 OCT 2025,3648.65
22 OCT 2025,3546.64
21 OCT 2025,3507.76
17 OCT 2025,3495.49
16 OCT 2025,3360.71
15 OCT 2025,3332.28
14 OCT 2025,3288.58
13 OCT 2025,3253.32
10 OCT 2025,3271.62
9 OCT 2025,3291.81
8 OCT 2025,3327.14
7 OCT 2025,3384.83
3 OCT 2025,3352.89
2 OCT 2025,3357.62
1 OCT 2025,3373.74
30 SEP 2025,3318.93
29 SEP 2025,3272.07
26 SEP 2025,3228.46
25 SEP 2025,3182.61
24 SEP 2025,3187.77
23 SEP 2025,3183.92
22 SEP 2025,3193.68
19 SEP 2025,3232.12
18 SEP 2025,3149.97
17 SEP 2025,3110.37
16 SEP 2025,2980.15
15 SEP 2025,2823.56
12 SEP 2025,2837.96
11 SEP 2025,2779.57
10 SEP 2025,2820.06
9 SEP 2025,2768.08
8 SEP 2025,2843.41
4 SEP 2025,2834.37
3 SEP 2025,2786.29
2 SEP 2025,2781.62
1 SEP 2025,2808.75
29 AUG 2025,2750.54
28 AUG 2025,2734
27 AUG 2025,2708.29
26 AUG 2025,2631.95
25 AUG 2025,2633.61
22 AUG 2025,2662.07
21 AUG 2025,2684.92
20 AUG 2025,2653.59
19 AUG 2025,2682.1
18 AUG 2025,2690.32
15 AUG 2025,2723.37
14 AUG 2025,2663.53
13 AUG 2025,2649.62
12 AUG 2025,2643.03
