Traded Date,Value
31 DEC 2025,1186.63
30 DEC 2025,1175.03
29 DEC 2025,1145.85
26 DEC 2025,1143.64
24 DEC 2025,1145.2
23 DEC 2025,1160.4
22 DEC 2025,1147.32
19 DEC 2025,1171.26
18 DEC 2025,1166.65
17 DEC 2025,1172.73
16 DEC 2025,1140.51
15 DEC 2025,1158.83
12 DEC 2025,1192.62
11 DEC 2025,1207.99
10 DEC 2025,1219.5
9 DEC 2025,1227.32
8 DEC 2025,1141.98
5 DEC 2025,1173.47
3 DEC 2025,1184.98
2 DEC 2025,1211.12
1 DEC 2025,1230.27
28 NOV 2025,1289.55
27 NOV 2025,1285.69
26 NOV 2025,1292.68
25 NOV 2025,1311
24 NOV 2025,1286.42
21 NOV 2025,1325.64
20 NOV 2025,1357.86
19 NOV 2025,1354.91
18 NOV 2025,1334.58
17 NOV 2025,1377.93
14 NOV 2025,1356.77
13 NOV 2025,1359.07
12 NOV 2025,1365.24
11 NOV 2025,1320.41
10 NOV 2025,1328.88
7 NOV 2025,1289.22
6 NOV 2025,1287.83
4 NOV 2025,1249.09
3 NOV 2025,1257.2
31 OCT 2025,1272.57
30 OCT 2025,1274.14
29 OCT 2025,1288.68
28 OCT 2025,1270.09
27 OCT 2025,1272.57
24 OCT 2025,1219.64
23 OCT 2025,1235.75
22 OCT 2025,1164.4
21 OCT 2025,1136.04
17 OCT 2025,1147.55
16 OCT 2025,1113.76
15 OCT 2025,1098.39
14 OCT 2025,1132.91
13 OCT 2025,1096.83
10 OCT 2025,1076.94
9 OCT 2025,1043.89
8 OCT 2025,1011.67
7 OCT 2025,1011.67
3 OCT 2025,997.86
2 OCT 2025,1015.53
1 OCT 2025,990.95
30 SEP 2025,940.41
29 SEP 2025,890.51
26 SEP 2025,885.08
25 SEP 2025,904.41
24 SEP 2025,892.07
23 SEP 2025,901.28
22 SEP 2025,906.62
19 SEP 2025,930.46
18 SEP 2025,928.9
17 SEP 2025,938.84
16 SEP 2025,917.39
15 SEP 2025,878.26
12 SEP 2025,885.99
11 SEP 2025,865.28
10 SEP 2025,885.99
9 SEP 2025,859.85
8 SEP 2025,909.01
