Traded Date,Value
31 DEC 2025,2463.13
30 DEC 2025,2448.97
29 DEC 2025,2452.15
26 DEC 2025,2457.35
24 DEC 2025,2442.9
23 DEC 2025,2457.05
22 DEC 2025,2466.3
19 DEC 2025,2456.92
18 DEC 2025,2470.93
17 DEC 2025,2455.91
16 DEC 2025,2460.82
15 DEC 2025,2458.65
12 DEC 2025,2463.72
11 DEC 2025,2459.38
10 DEC 2025,2422.11
9 DEC 2025,2386.3
8 DEC 2025,2323.76
5 DEC 2025,2309.17
3 DEC 2025,2299.36
2 DEC 2025,2333.3
1 DEC 2025,2330.13
28 NOV 2025,2415.63
27 NOV 2025,2438.43
26 NOV 2025,2454.31
25 NOV 2025,2458.65
24 NOV 2025,2467.16
21 NOV 2025,2531.01
20 NOV 2025,2502.7
19 NOV 2025,2499.97
18 NOV 2025,2520.89
17 NOV 2025,2610.43
14 NOV 2025,2601.76
13 NOV 2025,2608.4
12 NOV 2025,2636.57
11 NOV 2025,2646.24
10 NOV 2025,2562.02
7 NOV 2025,2457.27
6 NOV 2025,2420.59
4 NOV 2025,2450.19
3 NOV 2025,2407.31
31 OCT 2025,2352.44
30 OCT 2025,2350.27
29 OCT 2025,2351.14
28 OCT 2025,2314.89
27 OCT 2025,2344.06
24 OCT 2025,2355.48
23 OCT 2025,2329.48
22 OCT 2025,2347.97
21 OCT 2025,2359.81
17 OCT 2025,2384.37
16 OCT 2025,2379.9
15 OCT 2025,2394.62
14 OCT 2025,2378.3
13 OCT 2025,2295.67
10 OCT 2025,2239.5
9 OCT 2025,2221.45
8 OCT 2025,2208.6
7 OCT 2025,2183.47
3 OCT 2025,2208.17
2 OCT 2025,2220.58
1 OCT 2025,2210.34
30 SEP 2025,2192.28
29 SEP 2025,2196.62
26 SEP 2025,2171.49
25 SEP 2025,2120.23
24 SEP 2025,2121.96
23 SEP 2025,2111.71
22 SEP 2025,2098.86
19 SEP 2025,2099.73
18 SEP 2025,2111.15
17 SEP 2025,2087.45
16 SEP 2025,2093.23
15 SEP 2025,2064.92
12 SEP 2025,2090.49
11 SEP 2025,2112.28
10 SEP 2025,2130.2
9 SEP 2025,2093.23
8 SEP 2025,2156.34
4 SEP 2025,2156.34
3 SEP 2025,2170.49
2 SEP 2025,2187.67
1 SEP 2025,2181.76
29 AUG 2025,2173.82
28 AUG 2025,2070.86
27 AUG 2025,1993.87
26 AUG 2025,1972.65
25 AUG 2025,1932.36
22 AUG 2025,1946.51
21 AUG 2025,1940.31
20 AUG 2025,1848.33
19 AUG 2025,1808.61
18 AUG 2025,1799.8
15 AUG 2025,1790.56
14 AUG 2025,1782.32
13 AUG 2025,1776.54
12 AUG 2025,1735.39
11 AUG 2025,1658.43
7 AUG 2025,1619.15
6 AUG 2025,1617.28
5 AUG 2025,1620.45
4 AUG 2025,1624.79
1 AUG 2025,1632.3
31 JUL 2025,1619.45
30 JUL 2025,1642.84
29 JUL 2025,1621.18
28 JUL 2025,1629.13
25 JUL 2025,1614.24
24 JUL 2025,1630.13
23 JUL 2025,1616.55
