Traded Date,Value
31 DEC 2025,88855.35
30 DEC 2025,88262.4
29 DEC 2025,86491.89
26 DEC 2025,87681.97
24 DEC 2025,87395.93
23 DEC 2025,86807.15
22 DEC 2025,88279.1
19 DEC 2025,87711.2
18 DEC 2025,88291.62
17 DEC 2025,85953.21
16 DEC 2025,85953.21
15 DEC 2025,85957.39
12 DEC 2025,87416.81
11 DEC 2025,88304.15
10 DEC 2025,87702.85
9 DEC 2025,85911.46
8 DEC 2025,84885.27
5 DEC 2025,83850.73
3 DEC 2025,83573.05
2 DEC 2025,85326.86
1 DEC 2025,86765.4
28 NOV 2025,90045.43
27 NOV 2025,89174.79
26 NOV 2025,90348.17
25 NOV 2025,87702.85
24 NOV 2025,88720.68
21 NOV 2025,90684.31
20 NOV 2025,91857.69
19 NOV 2025,91256.39
18 NOV 2025,92433.95
17 NOV 2025,92614.54
14 NOV 2025,92765.91
13 NOV 2025,93127.1
12 NOV 2025,92127.03
11 NOV 2025,93569.75
10 NOV 2025,94158.53
7 NOV 2025,95920.69
6 NOV 2025,95188.89
4 NOV 2025,92980.98
3 NOV 2025,90478.67
31 OCT 2025,89906.59
30 OCT 2025,88720.68
29 OCT 2025,87551.48
28 OCT 2025,85940.68
27 OCT 2025,85923.98
24 OCT 2025,87114.07
23 OCT 2025,87248.74
22 OCT 2025,87416.81
21 OCT 2025,86983.57
17 OCT 2025,87711.2
16 OCT 2025,87715.37
15 OCT 2025,86701.71
14 OCT 2025,86819.68
13 OCT 2025,87277.96
10 OCT 2025,88451.34
9 OCT 2025,84481.26
8 OCT 2025,83732.77
7 OCT 2025,83892.49
3 OCT 2025,84779.83
2 OCT 2025,85810.19
1 OCT 2025,86546.16
30 SEP 2025,86554.51
29 SEP 2025,85974.09
26 SEP 2025,85376.96
25 SEP 2025,86533.64
24 SEP 2025,84157.65
23 SEP 2025,80641.68
22 SEP 2025,75746.68
19 SEP 2025,74106.66
18 SEP 2025,75280.05
17 SEP 2025,75296.75
16 SEP 2025,75864.65
15 SEP 2025,74687.09
12 SEP 2025,77067.26
11 SEP 2025,77050.56
10 SEP 2025,78232.29
9 SEP 2025,79250.13
8 SEP 2025,78526.68
4 SEP 2025,75456.47
3 SEP 2025,74110.84
2 SEP 2025,74098.31
1 SEP 2025,73522.06
29 AUG 2025,73530.41
28 AUG 2025,73324.77
27 AUG 2025,74069.09
26 AUG 2025,70389.22
25 AUG 2025,69514.41
22 AUG 2025,68795.13
21 AUG 2025,69379.74
20 AUG 2025,69926.76
19 AUG 2025,68315.97
18 AUG 2025,67432.81
15 AUG 2025,70368.35
14 AUG 2025,72887.36
13 AUG 2025,62735.1
12 AUG 2025,58752.5
11 AUG 2025,55682.5
7 AUG 2025,55266.18
6 AUG 2025,53440.97
5 AUG 2025,52738.61
4 AUG 2025,52103.48
1 AUG 2025,53449.32
31 JUL 2025,50211.04
30 JUL 2025,49979.7
29 JUL 2025,47452.13
28 JUL 2025,46043.24
25 JUL 2025,45765.55
24 JUL 2025,45559.69
23 JUL 2025,45723.8
22 JUL 2025,45786.85
21 JUL 2025,45778.5
18 JUL 2025,45854.08
17 JUL 2025,45786.85
16 JUL 2025,46039.06
15 JUL 2025,46342.23
14 JUL 2025,46346.4
11 JUL 2025,46304.22
9 JUL 2025,46224.47
8 JUL 2025,46060.36
7 JUL 2025,46115.07
4 JUL 2025,46005.66
3 JUL 2025,46653.32
2 JUL 2025,46939.36
1 JUL 2025,47540.66
30 JUN 2025,46409.45
27 JUN 2025,45299.13
26 JUN 2025,45597.69
25 JUN 2025,45488.28
24 JUN 2025,45105.79
23 JUN 2025,44575.89
20 JUN 2025,45522.11
19 JUN 2025,45160.49
18 JUN 2025,45459.06
17 JUN 2025,45757.62
16 JUN 2025,45774.32
13 JUN 2025,45648.22
12 JUN 2025,46354.75
11 JUN 2025,46354.75
9 JUN 2025,46409.45
6 JUN 2025,46426.16
5 JUN 2025,48314.42
4 JUN 2025,47641.71
3 JUN 2025,46640.79
2 JUN 2025,45757.62
30 MAY 2025,45639.87
29 MAY 2025,45168.84
28 MAY 2025,43991.29
27 MAY 2025,43696.9
26 MAY 2025,43461.39
23 MAY 2025,42813.73
22 MAY 2025,42813.73
21 MAY 2025,42288.01
20 MAY 2025,42531.87
19 MAY 2025,43124.82
16 MAY 2025,42813.73
15 MAY 2025,42822.08
14 MAY 2025,42826.26
9 MAY 2025,42817.91
8 MAY 2025,42060.84
7 MAY 2025,42477.16
6 MAY 2025,42241.65
5 MAY 2025,42418.29
2 MAY 2025,43049.24
30 APR 2025,42813.73
29 APR 2025,42834.61
28 APR 2025,43045.07
25 APR 2025,42237.48
24 APR 2025,41930.56
23 APR 2025,42237.48
22 APR 2025,42237.48
21 APR 2025,43112.3
17 APR 2025,43103.95
16 APR 2025,43583.32
11 APR 2025,43007.07
10 APR 2025,43419.21
9 APR 2025,41909.69
8 APR 2025,42817.91
7 APR 2025,41926.39
4 APR 2025,43293.1
3 APR 2025,43175.35
2 APR 2025,43940.76
1 APR 2025,44163.75
28 MAR 2025,43701.07
27 MAR 2025,43288.93
26 MAR 2025,43906.93
25 MAR 2025,43120.65
24 MAR 2025,44007.99
21 MAR 2025,43144.52
20 MAR 2025,42845.59
19 MAR 2025,42453.71
18 MAR 2025,42307.84
17 MAR 2025,42847.05
14 MAR 2025,43280.42
12 MAR 2025,42834.15
11 MAR 2025,42201.99
10 MAR 2025,43028.7
7 MAR 2025,43462.06
6 MAR 2025,43673.76
5 MAR 2025,44599.14
4 MAR 2025,42523.79
3 MAR 2025,42822.72
28 FEB 2025,43965.51
27 FEB 2025,42851.31
25 FEB 2025,42857.02
24 FEB 2025,44094.23
21 FEB 2025,44381.72
20 FEB 2025,44580.52
19 FEB 2025,44667.75
18 FEB 2025,46063.73
17 FEB 2025,46427.01
14 FEB 2025,44819.34
13 FEB 2025,44075.61
11 FEB 2025,43530.68
10 FEB 2025,43477.75
7 FEB 2025,44092.76
6 FEB 2025,44081.33
5 FEB 2025,44620.54
3 FEB 2025,46050.83
31 JAN 2025,44730.64
30 JAN 2025,47392.41
29 JAN 2025,47923.12
28 JAN 2025,48111.95
27 JAN 2025,47514.09
24 JAN 2025,47813.02
23 JAN 2025,47947.46
22 JAN 2025,48997.3
21 JAN 2025,48117.67
20 JAN 2025,49871.21
17 JAN 2025,50750.84
16 JAN 2025,51272.91
15 JAN 2025,52158.26
10 JAN 2025,45420.13
9 JAN 2025,41368.1
8 JAN 2025,41426.74
7 JAN 2025,41655.59
6 JAN 2025,41250.82
3 JAN 2025,40471.31
2 JAN 2025,41197.89
31 DEC 2024,39902.05
30 DEC 2024,41086.32
27 DEC 2024,40916.12
26 DEC 2024,40505.62
24 DEC 2024,40077.97
23 DEC 2024,40195.26
20 DEC 2024,41063.45
19 DEC 2024,40775.96
18 DEC 2024,40963.32
17 DEC 2024,38740.64
16 DEC 2024,38101.29
13 DEC 2024,39304.19
12 DEC 2024,39415.76
11 DEC 2024,39251.26
10 DEC 2024,36958.5
9 DEC 2024,36014.51
6 DEC 2024,33545.82
5 DEC 2024,33324.15
4 DEC 2024,32051.18
3 DEC 2024,31928.18
2 DEC 2024,31933.89
29 NOV 2024,32104.1
28 NOV 2024,31048.54
27 NOV 2024,30855.47
26 NOV 2024,31336.04
25 NOV 2024,31042.83
22 NOV 2024,31629.25
21 NOV 2024,31606.38
20 NOV 2024,31752.25
19 NOV 2024,30344.84
18 NOV 2024,30286.2
14 NOV 2024,29869.98
13 NOV 2024,29875.7
12 NOV 2024,30450.69
