Traded Date,Value
31 DEC 2025,2312.12
30 DEC 2025,2293.49
29 DEC 2025,2262.37
26 DEC 2025,2269.52
24 DEC 2025,2248.18
23 DEC 2025,2326.02
22 DEC 2025,2330.79
19 DEC 2025,2310.31
18 DEC 2025,2322.83
17 DEC 2025,2348.99
16 DEC 2025,2366.91
15 DEC 2025,2379.3
12 DEC 2025,2433.61
11 DEC 2025,2330.04
10 DEC 2025,2328.82
9 DEC 2025,2275.17
8 DEC 2025,2243.53
5 DEC 2025,2245.14
3 DEC 2025,2310.06
2 DEC 2025,2344.01
1 DEC 2025,2325.69
28 NOV 2025,2406.25
27 NOV 2025,2395.67
26 NOV 2025,2407.15
25 NOV 2025,2378.66
24 NOV 2025,2338.54
21 NOV 2025,2392.89
20 NOV 2025,2413.33
19 NOV 2025,2420.95
18 NOV 2025,2423.81
17 NOV 2025,2427.17
14 NOV 2025,2470.94
13 NOV 2025,2444.13
12 NOV 2025,2447.37
11 NOV 2025,2487.22
10 NOV 2025,2493.54
7 NOV 2025,2549.89
6 NOV 2025,2489.94
4 NOV 2025,2501.04
3 NOV 2025,2596.86
31 OCT 2025,2634.99
30 OCT 2025,2640.5
29 OCT 2025,2648.35
28 OCT 2025,2419.75
27 OCT 2025,2324.93
24 OCT 2025,2357.22
23 OCT 2025,2397.07
22 OCT 2025,2395.53
21 OCT 2025,2453.68
17 OCT 2025,2330.45
16 OCT 2025,2299.95
15 OCT 2025,2243.53
14 OCT 2025,2319.17
13 OCT 2025,2085.35
10 OCT 2025,2085.75
9 OCT 2025,2083.26
8 OCT 2025,2047.19
7 OCT 2025,2057.63
3 OCT 2025,1995.22
2 OCT 2025,1988.71
1 OCT 2025,1985.33
30 SEP 2025,1957.68
29 SEP 2025,1967.72
26 SEP 2025,1938.58
25 SEP 2025,1959.23
24 SEP 2025,1956.93
23 SEP 2025,1922.24
22 SEP 2025,1953.83
19 SEP 2025,1964.45
18 SEP 2025,1967.28
17 SEP 2025,1983.96
16 SEP 2025,1951.71
15 SEP 2025,1824.32
12 SEP 2025,1836.02
11 SEP 2025,1832.7
10 SEP 2025,1849.31
9 SEP 2025,1840.8
8 SEP 2025,1889.38
4 SEP 2025,1753.82
3 SEP 2025,1720.89
2 SEP 2025,1678.52
1 SEP 2025,1669.53
29 AUG 2025,1640.29
28 AUG 2025,1626.79
27 AUG 2025,1592.42
26 AUG 2025,1593.78
25 AUG 2025,1592.91
22 AUG 2025,1584.94
21 AUG 2025,1589.97
20 AUG 2025,1588.24
19 AUG 2025,1568.62
18 AUG 2025,1586.23
15 AUG 2025,1559.54
14 AUG 2025,1549.78
13 AUG 2025,1540.97
12 AUG 2025,1525.25
11 AUG 2025,1518.29
7 AUG 2025,1517.37
6 AUG 2025,1525.79
5 AUG 2025,1508.35
4 AUG 2025,1522.63
1 AUG 2025,1541.57
31 JUL 2025,1542.67
30 JUL 2025,1533.77
29 JUL 2025,1516.74
28 JUL 2025,1512.1
25 JUL 2025,1507.92
24 JUL 2025,1510.42
23 JUL 2025,1507.42
22 JUL 2025,1504.81
