date,ASPI,Banks,Capital_Goods,Consumer_Durables_and_Apparel,Consumer_Services,Diversified_Financials,Energy,"Food,_Beverage_and_Tobacco",Healthcare_Equipment_and_Services,Insurance,Materials,Real_Estate_Management_and_Development,Retailing,Telecommunication_Services,Repo_Standing_Deposit_Facility_Rate,Reverse_Repo_Standing_Lending_Facility_Rate,Monthly_Average_Exchange_Rates,CCPI_2021_Base
2019-01-02,6062.2,826.06,851.86,789.61,253.78,767.38,617.2,946.43,863.13,2181.0,540.58,755.29,790.2,748.46,8.0,9.0,182.13,99.2
2019-01-03,6058.48,820.19,848.1,797.83,256.55,781.43,613.47,946.08,865.17,2166.21,542.73,749.56,787.44,740.51,8.0,9.0,182.13,99.2
2019-01-04,6067.66,823.6,850.9,812.56,255.14,778.3,603.23,948.34,866.56,2166.73,544.92,749.69,791.14,744.21,8.0,9.0,182.13,99.2
2019-01-07,6022.99,816.66,838.41,805.63,254.43,773.72,591.92,942.37,861.18,2137.48,540.84,746.16,782.55,744.21,8.0,9.0,182.13,99.2
2019-01-08,5992.36,808.46,835.02,802.1,252.63,773.0,585.58,937.21,859.54,2129.06,539.51,749.48,764.4,735.24,8.0,9.0,182.13,99.2
2019-01-09,5982.19,804.51,828.03,802.27,252.99,770.23,582.0,940.04,859.04,2143.61,540.64,745.08,770.2,727.85,8.0,9.0,182.13,99.2
2019-01-10,5984.05,806.97,828.08,806.54,253.58,770.47,583.9,941.46,859.54,2119.36,533.64,750.79,768.69,724.18,8.0,9.0,182.13,99.2
2019-01-11,5967.27,808.32,825.63,804.5,252.69,768.06,593.21,931.26,862.88,2120.17,539.24,749.83,765.15,731.56,8.0,9.0,182.13,99.2
2019-01-14,5981.02,809.63,829.3,801.01,255.55,768.77,588.68,934.29,860.95,2125.01,541.01,747.78,764.37,731.56,8.0,9.0,182.13,99.2
2019-01-16,5973.34,810.25,830.74,802.38,255.65,767.27,587.17,925.71,863.41,2167.29,534.56,749.99,756.59,735.26,8.0,9.0,182.13,99.2
2019-01-17,5989.12,811.34,838.42,812.94,258.89,769.26,587.49,929.54,864.12,2173.31,536.3,745.54,754.65,719.42,8.0,9.0,182.13,99.2
2019-01-18,5988.07,816.75,836.53,814.73,259.1,762.41,582.22,928.91,866.86,2177.7,537.59,743.17,758.71,718.36,8.0,9.0,182.13,99.2
2019-01-21,5958.47,811.83,835.19,806.82,251.95,767.42,575.88,925.29,864.61,2149.36,535.46,745.24,751.39,707.82,8.0,9.0,182.13,99.2
2019-01-22,5944.17,810.18,830.14,814.01,250.74,762.66,582.66,923.84,869.82,2145.24,533.87,748.45,749.79,704.11,8.0,9.0,182.13,99.2
2019-01-23,5951.56,805.05,832.39,812.88,250.49,760.0,577.0,923.83,863.16,2138.28,540.2,748.78,745.65,729.42,8.0,9.0,182.13,99.2
2019-01-24,5960.34,805.73,829.46,814.72,250.9,757.2,575.66,928.62,878.64,2153.63,539.61,738.01,752.15,727.85,8.0,9.0,182.13,99.2
2019-01-25,5978.3,806.49,835.68,810.69,254.54,767.29,591.17,931.16,871.41,2145.0,537.85,738.02,759.83,718.36,8.0,9.0,182.13,99.2
2019-01-28,5973.46,806.55,840.6,810.89,252.98,771.22,560.45,929.55,872.95,2137.52,538.91,734.8,743.3,713.6,8.0,9.0,182.13,99.2
2019-01-29,5997.12,814.69,848.44,812.7,255.76,771.12,569.26,929.24,885.45,2157.02,539.06,730.33,746.57,714.14,8.0,9.0,182.13,99.2
2019-01-30,5991.29,813.87,846.6,815.18,251.06,773.04,552.96,926.04,875.1,2165.44,537.15,731.66,762.47,726.28,8.0,9.0,182.13,99.2
2019-01-31,5989.9,814.72,844.88,821.3,251.01,772.1,553.3,926.7,869.65,2195.33,536.75,732.87,757.59,713.6,8.0,9.0,182.13,99.2
2019-02-01,5982.05,814.72,838.8,812.76,252.06,768.8,552.92,924.98,872.42,2187.63,539.59,733.53,759.55,723.12,8.0,9.0,178.73,98.8
2019-02-05,5981.65,815.48,837.8,813.72,252.1,769.43,554.99,923.43,871.8,2196.21,538.7,740.62,767.66,718.36,8.0,9.0,178.73,98.8
2019-02-06,5957.41,808.54,838.79,804.16,248.32,774.91,549.51,918.09,873.99,2178.49,536.89,740.12,753.88,712.58,8.0,9.0,178.73,98.8
2019-02-07,5959.79,807.98,835.53,799.29,249.08,775.3,545.32,920.53,875.86,2195.63,540.04,739.51,752.83,708.87,8.0,9.0,178.73,98.8
2019-02-08,5964.14,809.15,837.97,815.18,248.21,771.51,545.53,918.15,877.43,2194.0,538.86,747.76,757.75,718.36,8.0,9.0,178.73,98.8
2019-02-11,5960.62,808.98,842.65,813.48,247.48,767.56,544.43,916.86,870.02,2196.51,538.97,747.28,765.02,713.09,8.0,9.0,178.73,98.8
2019-02-12,5930.21,806.03,832.74,811.61,247.59,764.37,539.51,916.27,866.56,2142.63,538.9,744.6,760.55,703.06,8.0,9.0,178.73,98.8
2019-02-13,5930.47,804.59,829.07,808.25,246.73,766.52,542.38,916.02,873.26,2151.72,543.98,740.01,753.01,713.6,8.0,9.0,178.73,98.8
2019-02-14,5932.45,807.25,827.43,806.66,248.48,769.76,540.07,917.68,876.69,2113.37,540.15,738.0,757.62,717.82,8.0,9.0,178.73,98.8
2019-02-15,5909.3,800.74,824.86,804.01,246.89,765.69,532.68,918.24,871.94,2104.55,538.81,735.03,751.52,704.11,8.0,9.0,178.73,98.8
2019-02-18,5897.33,797.94,823.5,782.01,246.36,754.22,531.73,921.19,872.52,2097.68,538.92,730.15,750.84,703.06,8.0,9.0,178.73,98.8
2019-02-20,5880.17,794.23,824.14,774.29,243.11,755.59,527.21,917.46,876.02,2089.36,522.74,733.96,754.76,703.06,8.0,9.0,178.73,98.8
2019-02-21,5839.04,786.51,815.72,749.93,240.56,748.39,516.36,913.63,870.25,2084.91,510.95,734.38,758.65,703.06,8.0,9.0,178.73,98.8
2019-02-22,5837.72,785.21,817.62,755.16,239.72,744.77,515.11,916.78,872.89,2088.39,501.97,733.34,749.24,692.51,8.0,9.0,178.73,98.8
2019-02-25,5826.26,783.27,815.38,750.89,240.28,746.79,523.48,915.84,873.32,2040.69,504.83,735.5,751.59,698.3,8.0,9.0,178.73,98.8
2019-02-26,5822.27,786.59,816.44,748.21,239.3,753.16,522.31,908.11,874.28,2051.21,504.37,742.85,739.72,688.78,8.0,9.0,178.73,98.8
2019-02-27,5799.98,781.38,822.16,742.26,239.53,747.58,518.99,901.68,882.45,2021.06,495.95,740.39,736.34,688.24,8.0,9.0,178.73,98.8
2019-02-28,5816.29,778.51,825.87,752.21,243.47,746.8,530.57,907.84,865.92,1991.57,493.48,738.46,735.3,708.31,8.0,9.0,178.73,98.8
2019-03-01,5754.31,747.79,809.09,744.94,239.55,753.91,521.57,904.4,855.29,1998.68,495.15,741.55,733.03,688.78,8.0,9.0,178.43,98.6
2019-03-05,5770.57,750.27,816.38,738.46,238.33,761.1,518.76,906.91,854.91,1998.37,495.52,743.11,733.43,684.03,8.0,9.0,178.43,98.6
2019-03-06,5751.6,749.0,813.03,739.82,237.04,751.74,518.57,905.12,841.55,1980.58,491.56,743.04,729.22,689.84,8.0,9.0,178.43,98.6
2019-03-07,5752.35,750.2,815.33,736.89,237.23,754.37,516.43,902.9,845.5,1993.31,491.27,738.17,724.74,694.6,8.0,9.0,178.43,98.6
2019-03-08,5722.25,744.87,809.34,739.38,235.04,755.68,517.5,891.56,847.47,1992.78,487.38,736.73,741.85,698.3,8.0,9.0,178.43,98.6
2019-03-11,5680.3,728.87,806.51,728.2,235.47,748.0,514.33,889.52,842.52,1986.67,485.55,746.29,712.09,679.83,8.0,9.0,178.43,98.6
2019-03-12,5646.78,721.73,800.86,723.83,232.7,742.12,506.33,884.95,830.55,1986.15,479.7,741.96,707.01,679.83,8.0,9.0,178.43,98.6
2019-03-13,5606.96,711.14,789.82,707.74,231.37,733.57,503.7,881.91,842.19,1984.99,478.36,734.05,706.6,670.32,8.0,9.0,178.43,98.6
2019-03-14,5632.79,719.15,790.91,708.7,232.92,741.13,507.52,882.84,844.52,1987.17,480.66,739.21,708.43,686.14,8.0,9.0,178.43,98.6
2019-03-15,5616.24,717.24,785.74,707.75,232.01,741.5,493.92,878.76,840.33,1978.89,482.21,742.05,716.19,687.19,8.0,9.0,178.43,98.6
2019-03-18,5614.98,719.88,785.15,706.0,233.61,736.47,499.96,878.05,832.82,1972.36,481.54,736.81,718.55,694.57,8.0,9.0,178.43,98.6
2019-03-19,5591.67,714.07,784.97,709.83,233.96,734.54,494.36,869.86,839.96,1966.09,479.39,730.95,712.27,697.74,8.0,9.0,178.43,98.6
2019-03-21,5571.3,711.66,780.52,717.84,231.56,725.21,495.1,868.01,827.11,1957.31,476.99,729.29,717.78,699.84,8.0,9.0,178.43,98.6
2019-03-22,5540.05,706.72,777.46,716.09,230.11,718.08,489.39,864.59,844.39,1936.12,473.28,724.37,713.98,681.89,8.0,9.0,178.43,98.6
2019-03-25,5529.67,705.39,775.17,710.27,231.53,717.59,486.81,865.22,817.57,1948.51,477.92,725.03,719.9,670.81,8.0,9.0,178.43,98.6
2019-03-26,5513.68,702.58,775.83,719.85,229.65,717.16,483.0,862.57,815.42,1947.18,473.24,723.44,699.81,659.72,8.0,9.0,178.43,98.6
2019-03-27,5511.77,698.5,775.66,714.34,229.08,714.53,485.62,861.38,825.72,1951.72,473.88,726.41,698.56,666.59,8.0,9.0,178.43,98.6
2019-03-28,5556.28,704.08,793.49,721.69,231.99,723.08,497.79,862.79,831.74,1969.72,478.13,730.91,694.67,672.92,8.0,9.0,178.43,98.6
2019-03-29,5557.24,709.12,791.8,720.27,235.66,725.17,495.47,861.0,826.68,1983.23,477.89,736.24,699.03,658.67,8.0,9.0,178.43,98.6
2019-04-01,5567.77,702.99,790.08,735.29,236.14,727.61,499.33,861.96,845.25,1984.88,476.53,717.9,704.77,669.75,8.0,9.0,174.8,98.9
2019-04-02,5578.43,710.18,795.37,740.02,238.01,725.68,496.87,861.79,822.23,1983.66,477.48,729.99,697.72,664.48,8.0,9.0,174.8,98.9
2019-04-03,5597.37,710.85,796.87,742.3,242.7,738.47,502.74,859.61,824.18,1987.78,482.89,725.22,705.83,678.73,8.0,9.0,174.8,98.9
2019-04-04,5653.43,715.78,802.53,742.91,244.61,753.44,509.04,871.06,822.84,1995.38,487.75,725.87,715.32,699.33,8.0,9.0,174.8,98.9
2019-04-05,5621.36,712.0,793.98,755.45,243.67,748.67,509.33,862.95,827.55,1996.52,488.29,724.08,709.41,695.63,8.0,9.0,174.8,98.9
2019-04-08,5595.46,710.6,783.87,732.12,243.93,741.84,504.92,863.5,820.36,1987.38,481.38,721.11,705.73,690.87,8.0,9.0,174.8,98.9
2019-04-09,5583.66,709.18,788.9,722.45,241.26,739.48,505.36,859.82,826.61,1992.04,478.16,720.87,693.69,675.54,8.0,9.0,174.8,98.9
2019-04-10,5583.58,709.87,787.04,727.11,240.54,744.39,498.11,857.93,830.13,1991.49,480.17,722.29,692.99,675.54,8.0,9.0,174.8,98.9
2019-04-11,5576.11,709.13,784.58,729.0,240.25,750.57,493.36,854.85,832.59,1994.66,480.04,722.98,692.78,675.54,8.0,9.0,174.8,98.9
2019-04-12,5585.3,707.42,784.45,728.24,239.75,750.98,493.66,860.24,830.66,1998.8,476.4,731.53,701.29,675.54,8.0,9.0,174.8,98.9
2019-04-16,5591.83,709.14,786.87,744.61,240.12,745.9,493.51,861.94,828.81,1997.45,482.14,725.11,709.0,671.84,8.0,9.0,174.8,98.9
2019-04-17,5603.35,706.06,784.46,743.61,241.06,755.51,497.07,866.05,830.66,1997.22,484.08,730.45,708.27,676.59,8.0,9.0,174.8,98.9
2019-04-18,5606.35,702.76,783.81,746.91,240.79,745.48,495.28,874.28,842.79,1995.56,483.71,726.14,708.81,673.94,8.0,9.0,174.8,98.9
2019-04-23,5402.58,679.86,741.53,713.82,224.41,720.36,474.92,843.3,818.28,1957.75,464.94,706.88,700.26,658.1,8.0,9.0,174.8,98.9
2019-04-24,5413.55,683.08,740.49,722.92,226.78,713.12,485.07,847.17,823.01,1976.65,463.81,709.07,690.45,655.99,8.0,9.0,174.8,98.9
2019-04-25,5422.89,677.32,738.87,723.95,225.42,712.92,482.04,847.26,814.15,1973.82,468.52,715.63,705.3,658.1,8.0,9.0,174.8,98.9
2019-04-26,5437.06,677.31,746.96,720.3,222.91,717.76,480.94,848.65,820.86,1981.33,470.79,714.07,703.07,653.34,8.0,9.0,174.8,98.9
2019-04-29,5443.31,677.05,756.08,720.82,222.91,720.46,484.92,848.2,806.67,1981.97,470.68,719.38,703.07,645.96,8.0,9.0,174.8,98.9
2019-04-30,5478.41,675.84,765.16,720.94,224.67,725.23,493.55,856.16,812.53,1991.19,473.92,712.4,705.0,655.45,8.0,9.0,174.8,98.9
2019-05-02,5458.78,676.49,758.71,717.71,216.97,713.96,497.12,856.4,821.11,1992.82,473.61,715.3,687.83,659.16,8.0,9.0,176.44,100.5
2019-05-03,5438.75,677.38,752.4,722.81,216.37,709.15,499.71,851.89,806.64,1993.46,470.52,711.58,688.98,658.1,8.0,9.0,176.44,100.5
2019-05-06,5386.27,672.04,735.07,710.28,215.85,702.41,500.77,843.75,803.78,1987.45,464.44,710.19,675.04,660.75,8.0,9.0,176.44,100.5
2019-05-07,5382.54,662.53,729.59,709.54,214.15,699.16,501.41,857.6,802.14,1975.64,456.6,706.73,667.85,653.37,8.0,9.0,176.44,100.5
2019-05-08,5372.97,655.51,730.81,704.2,213.15,701.51,493.95,857.82,799.71,1982.43,452.78,698.0,675.01,649.12,8.0,9.0,176.44,100.5
2019-05-09,5352.2,648.37,725.46,701.73,210.63,699.32,486.0,856.99,799.21,1983.58,450.82,694.92,662.86,653.88,8.0,9.0,176.44,100.5
2019-05-10,5327.68,644.27,722.17,701.36,209.6,699.86,482.86,858.06,794.96,1902.74,449.16,709.56,657.98,639.12,8.0,9.0,176.44,100.5
2019-05-13,5307.2,641.35,717.39,701.25,207.04,701.31,494.77,853.71,793.5,1888.63,446.81,690.38,655.02,643.88,8.0,9.0,176.44,100.5
2019-05-14,5223.69,624.85,708.93,687.11,203.18,689.26,478.62,838.81,775.42,1872.56,443.36,698.88,626.88,630.68,8.0,9.0,176.44,100.5
2019-05-15,5199.98,617.75,708.62,686.0,200.83,683.45,470.6,835.71,775.39,1862.41,439.12,684.98,632.41,629.63,8.0,9.0,176.44,100.5
2019-05-16,5251.79,618.81,713.32,686.8,206.52,691.43,477.18,851.21,772.91,1860.09,442.13,669.35,635.34,648.1,8.0,9.0,176.44,100.5
