Sector,Zero_Days,Total_Days,ZRR (%)
Household_and_Personal_Products,340,1638,20.76
Automobiles_and_Components,210,1638,12.82
Commercial_and_Professional_services,195,1640,11.89
Transportation,188,1640,11.46
Food_and_Staples_Retailing,107,1640,6.52
Software_and_Services,33,956,3.45
Telecommunication_Services,45,1638,2.75
Energy,9,1640,0.55
Consumer_Services,3,1640,0.18
Retailing,2,1638,0.12
Banks,2,1640,0.12
Insurance,2,1640,0.12
Materials,1,1640,0.06
Capital_Goods,1,1640,0.06
Consumer_Durables_and_Apparel,0,1640,0.0
Diversified_Financials,0,1640,0.0
Real_Estate_Management_and_Development,0,1640,0.0
"Food,_Beverage_and_Tobacco",0,1640,0.0
Utilities,0,956,0.0
Healthcare_Equipment_and_Services,0,1640,0.0
